,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-36,42","0,49","0,40","1,69","1,69","0,15","3,97","3,33","14,15","3,82","-0,22","1,43","6,01","0,52","R$ 644,71 M","0,00%"
1,30/09/2024,"-42,35","0,57","0,47","1,96","1,96","0,17","4,62","3,87","14,80","4,00","-0,26","1,49","6,29","0,55","R$ 749,80 M","0,00%"
2,30/06/2024,"-5,22","0,33","0,26","1,13","1,14","0,10","6,05","3,21","27,54","3,68","-0,15","1,18","5,17","0,45","R$ 431,70 M","0,00%"
3,31/03/2024,"-5,80","0,37","0,28","1,10","1,11","0,10","4,75","1,15","22,69","3,98","-0,17","1,35","5,30","0,50","R$ 477,14 M","4,71%"
4,31/12/2023,"-8,54","0,55","0,40","1,41","1,43","0,16","5,99","2,24","21,68","4,30","-0,24","1,46","5,16","0,56","R$ 704,36 M","3,19%"
5,30/09/2023,"-8,55","0,67","0,50","1,43","1,45","0,19","9,40","3,99","30,97","5,25","-0,28","1,63","4,77","0,62","R$ 886,12 M","2,54%"
6,30/06/2023,"-5.834,19","0,86","0,64","1,85","1,86","0,26","4,79","10,12","11,85","4,22","-0,38","1,58","4,61","0,64","R$ 1,18 B","1,90%"
7,31/03/2023,"35,26","0,92","0,66","1,73","1,75","0,27","4,17","2,16","10,11","4,14","-0,47","1,59","4,23","0,66","R$ 1,25 B","0,00%"
8,31/12/2022,"12,30","0,85","0,59","2,02","2,07","0,25","3,15","2,18","8,34","3,89","-0,43","1,55","5,49","0,67","R$ 1,14 B","6,35%"
9,30/09/2022,"10,36","1,60","1,14","3,41","3,48","0,49","4,28","3,50","7,74","4,44","-0,90","2,07","6,30","0,89","R$ 2,31 B","3,14%"
10,30/06/2022,"10,94","2,23","1,52","4,61","4,78","0,63","5,25","4,93","8,28","5,02","-1,07","2,40","7,53","0,99","R$ 3,11 B","2,33%"
11,31/03/2022,"10,50","2,54","1,65","4,98","5,18","0,78","5,64","-2,61","8,38","5,18","-0,78","2,44","7,70","1,15","R$ 3,42 B","2,64%"
12,31/12/2021,"13,10","3,78","2,29","5,93","6,10","1,09","7,52","-3,50","10,31","6,57","-1,06","3,13","8,36","1,49","R$ 4,79 B","12,28%"
