,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"5,06%","5,71%","7,66%","8,65%","-4,37%","-1,41%","44,03%","-5,32%","18,53%","56,70%","0,27","3,32","2,32","1,66"
1,30/06/2024,"4,66%","5,26%","7,07%","7,97%","-5,80%","-1,93%","42,64%","-7,16%","17,07%","56,13%","0,27","3,44","2,44","1,65"
2,31/03/2024,"8,69%","9,64%","13,16%","14,61%","6,65%","2,23%","39,65%","8,68%","33,35%","52,64%","0,26","3,14","2,14","2,01"
3,31/12/2023,"8,35%","9,34%","12,65%","14,14%","4,74%","1,57%","37,48%","6,58%","31,77%","51,66%","0,24","3,14","2,14","2,08"
4,30/09/2023,"8,81%","9,75%","13,34%","14,77%","6,39%","2,11%","36,76%","9,13%","35,38%","55,18%","0,23","3,09","2,09","2,08"
5,30/06/2023,"8,19%","9,05%","12,41%","13,71%","5,34%","1,75%","34,49%","7,64%","33,64%","52,64%","0,23","3,01","2,01","2,09"
6,31/03/2023,"7,73%","8,42%","11,71%","12,75%","4,45%","1,46%","32,88%","6,54%","32,30%","51,72%","0,22","2,98","1,98","2,21"
7,31/12/2022,"7,06%","7,55%","10,70%","11,45%","3,48%","1,07%","31,97%","5,23%","30,85%","50,84%","0,20","3,02","2,02","1,87"
8,30/09/2022,"4,87%","5,16%","7,39%","7,81%","-0,73%","-0,24%","29,59%","-1,21%","22,83%","44,32%","0,20","3,02","2,02","2,52"
9,30/06/2022,"3,57%","3,76%","5,41%","5,69%","-2,37%","-0,86%","26,47%","-4,50%","18,76%","43,22%","0,19","3,05","2,05","3,00"
10,31/03/2022,"3,70%","3,89%","5,61%","5,90%","-0,58%","-0,21%","27,76%","-1,12%","20,17%","44,56%","0,19","3,04","2,04","3,03"
11,31/12/2021,"3,52%","3,70%","5,33%","5,60%","1,00%","0,33%","28,06%","2,02%","20,43%","45,03%","0,16","3,26","2,26","3,50"
12,30/09/2021,"4,41%","4,60%","6,69%","6,97%","3,58%","1,15%","31,10%","7,07%","25,32%","48,60%","0,16","3,04","2,04","3,11"
13,30/06/2021,"5,33%","6,77%","8,08%","10,26%","7,65%","1,55%","33,68%","8,46%","27,94%","50,79%","0,18","2,77","1,77","2,92"
14,31/03/2021,"6,25%","7,34%","9,47%","11,12%","9,18%","2,10%","33,19%","10,18%","30,11%","53,77%","0,21","2,74","1,74","3,03"
15,31/12/2020,"5,98%","7,10%","9,05%","10,76%","3,56%","0,91%","32,22%","4,27%","27,97%","52,60%","0,21","3,06","2,06","3,31"
16,30/09/2020,"6,50%","7,75%","9,85%","11,74%","6,10%","1,56%","34,71%","7,12%","29,73%","54,59%","0,22","3,11","2,11","3,31"
17,30/06/2020,"7,97%","8,42%","12,08%","12,76%","9,00%","2,47%","34,96%","10,02%","31,19%","55,86%","0,25","4,94","3,94","3,18"
18,31/03/2020,"6,86%","7,27%","10,39%","11,02%","6,37%","1,70%","34,17%","6,97%","27,52%","52,43%","0,24","4,38","3,38","3,23"
19,31/12/2019,"7,77%","7,55%","11,77%","11,43%","9,69%","2,87%","34,98%","10,98%","29,82%","54,03%","0,26","3,93","2,93","2,55"
20,30/09/2019,"7,68%","7,41%","11,64%","11,22%","9,01%","2,69%","33,78%","10,06%","28,37%","52,73%","0,27","3,90","2,90","2,55"
21,30/06/2019,"7,13%","6,85%","10,81%","10,38%","7,44%","2,17%","32,59%","8,28%","26,72%","50,44%","0,26","3,64","2,64","2,67"
