,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 18,76 B","- R$ 13,18 B","- R$ 1,35 B","R$ 4,66 B",10
1,31/03/2024,"R$ 21,42 B","- R$ 12,87 B","- R$ 2,48 B","R$ 6,09 B",10
2,31/12/2023,"R$ 16,37 B","- R$ 11,40 B","- R$ 1,70 B","R$ 3,01 B",10
3,30/09/2023,"R$ 15,90 B","- R$ 11,32 B","- R$ 4,47 B","- R$ 72,15 M",10
4,30/06/2023,"R$ 12,90 B","- R$ 11,00 B","- R$ 3,39 B","- R$ 1,67 B",10
5,31/03/2023,"R$ 13,06 B","- R$ 11,42 B","- R$ 1,33 B","R$ 498,83 M",10
6,31/12/2022,"R$ 9,63 B","- R$ 10,24 B","R$ 767,33 M","- R$ 131,99 M",10
7,30/09/2022,"R$ 8,75 B","- R$ 9,37 B","R$ 631,90 M","- R$ 152,95 M",10
8,30/06/2022,"R$ 8,17 B","- R$ 12,62 B","R$ 5,54 B","R$ 930,54 M",10
9,31/03/2022,"R$ 13,91 B","- R$ 8,19 B","R$ 451,18 M","R$ 5,63 B",10
10,31/12/2021,"R$ 4,78 B","- R$ 5,38 B","R$ 4,38 B","R$ 3,89 B",10
11,30/09/2021,"R$ 2,04 B","- R$ 3,45 B","R$ 7,13 B","R$ 5,75 B",10
12,30/06/2021,"R$ 4,41 B","R$ 1,63 B","- R$ 2,38 B","R$ 3,56 B",10
13,31/03/2021,"R$ 2,73 B","- R$ 381,47 M","- R$ 2,01 B","R$ 437,72 M",10
14,31/12/2020,"R$ 2,58 B","R$ 25,15 M","- R$ 3,05 B","- R$ 154,05 M",10
15,30/09/2020,"R$ 3,24 B","- R$ 1,57 B","- R$ 2,84 B","- R$ 871,53 M",10
16,30/06/2020,"R$ 2,07 B","- R$ 1,88 B","- R$ 1,11 B","- R$ 596,80 M",10
17,31/03/2020,"R$ 3,45 B","- R$ 2,24 B","- R$ 2,10 B","- R$ 651,53 M",10
