,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"29,83","1,24","0,12","1,48","3,13","0,20","3,32","6,12","8,83","4,18","-0,25","0,32","8,33","0,54","R$ 27,85 B","5,77%"
1,30/06/2024,"37,60","1,56","0,15","1,87","3,95","0,25","4,19","7,72","9,70","4,59","-0,32","0,35","9,15","0,59","R$ 35,10 B","5,00%"
2,31/03/2024,"59,25","1,44","0,14","1,44","2,66","0,24","3,89","6,14","7,97","3,69","-0,30","0,29","5,45","0,49","R$ 30,85 B","6,50%"
3,31/12/2023,"10,16","1,81","0,18","2,48","5,61","0,32","3,35","10,25","6,90","4,17","-0,41","0,38","11,57","0,67","R$ 40,58 B","6,80%"
4,30/09/2023,"11,70","1,80","0,18","2,49","5,83","0,32","3,57","11,12","7,31","4,29","-0,41","0,36","11,94","0,66","R$ 39,65 B","5,91%"
5,30/06/2023,"15,44","1,72","0,17","3,02","9,30","0,35","4,42","28,38","8,93","4,63","-0,44","0,35","18,79","0,70","R$ 39,03 B","6,20%"
6,31/03/2023,"13,95","1,53","0,14","2,61","7,57","0,31","4,21","12,84","8,11","3,92","-0,39","0,27","14,58","0,59","R$ 34,06 B","6,37%"
7,31/12/2022,"320,12","1,46","0,13","3,20","13,44","0,29","8,86","3,93","20,11","5,56","-0,41","0,29","30,53","0,67","R$ 30,85 B","4,98%"
8,30/09/2022,"32,43","1,95","0,18","4,85","20,57","0,40","9,35","3,78","17,80","6,01","-0,58","0,34","39,17","0,76","R$ 42,41 B","1,98%"
9,30/06/2022,"17,42","2,26","0,23","6,19","24,07","0,48","8,14","5,36","13,73","6,05","-0,68","0,38","40,60","0,81","R$ 50,52 B","1,35%"
10,31/03/2022,"17,00","2,47","0,28","3,85","5,99","0,53","8,67","8,07","12,64","6,22","-0,74","0,41","8,73","0,78","R$ 53,52 B","1,28%"
11,31/12/2021,"19,90","3,25","0,40","13,91","30,12","0,63","10,58","8,23","15,76","9,05","-0,87","0,60","44,89","0,94","R$ 66,46 B","0,60%"
12,30/09/2021,"29,91","3,77","0,53","34,51","74,68","0,67","16,13","11,39","23,17","13,69","-0,87","0,75","107,26","0,96","R$ 70,40 B","0,24%"
13,30/06/2021,"29,39","6,17","0,58","14,19","16,16","0,83","16,26","37,60","22,81","16,50","-0,99","0,81","22,68","1,17","R$ 62,60 B","0,00%"
14,31/03/2021,"12,67","2,37","0,14","4,62","5,39","0,40","6,74","8,26","9,65","6,32","-0,51","0,20","7,73","0,58","R$ 12,62 B","0,00%"
15,31/12/2020,"18,31","2,92","0,15","4,90","5,60","0,45","8,62","10,64","12,98","7,83","-0,56","0,22","8,43","0,68","R$ 12,62 B","0,00%"
16,30/09/2020,"7,60","2,97","0,14","3,89","4,40","0,44","4,39","8,54","6,94","5,20","-0,55","0,23","6,95","0,70","R$ 12,62 B","0,00%"
17,30/06/2020,"8,73","3,42","0,14","6,10","7,91","0,45","4,53","13,41","7,54","5,73","-0,54","0,23","13,17","0,75","R$ 12,62 B","0,00%"
18,31/03/2020,"6,14","3,24","0,13","3,66","4,31","0,43","3,33","8,93","5,16","4,24","-0,53","0,19","6,70","0,67","R$ 12,62 B","0,00%"
