,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 37,48 M","R$ 3,77 M","- R$ 5,29 M","- R$ 1,35 M","- R$ 3,95 M","- R$ 8,83 M","- R$ 0,28",94
1,31/03/2024,"R$ 47,85 M","R$ 5,55 M","- R$ 3,81 M","- R$ 1,36 M","- R$ 2,45 M","- R$ 7,26 M","- R$ 0,06",94
2,31/12/2023,"R$ 56,75 M","R$ 6,33 M","- R$ 2,30 M","- R$ 1,33 M","- R$ 967,00 mil","- R$ 5,17 M","- R$ 0,04",94
3,30/09/2023,"R$ 61,80 M","R$ 7,86 M","R$ 5,49 M","- R$ 1,28 M","R$ 6,77 M","- R$ 13,53 M","- R$ 0,11",94
4,30/06/2023,"R$ 66,29 M","R$ 8,73 M","R$ 6,12 M","- R$ 1,24 M","R$ 7,36 M","- R$ 12,47 M","- R$ 0,10",94
5,31/03/2023,"R$ 73,87 M","R$ 8,56 M","R$ 5,73 M","- R$ 1,19 M","R$ 6,92 M","- R$ 12,93 M","- R$ 0,34",94
6,31/12/2022,"R$ 74,09 M","R$ 9,02 M","R$ 7,11 M","- R$ 1,15 M","R$ 8,26 M","- R$ 12,55 M","- R$ 0,33",94
7,30/09/2022,"R$ 70,44 M","R$ 8,00 M","R$ 466,00 mil","- R$ 1,10 M","R$ 1,57 M","- R$ 3,11 M","- R$ 0,08",94
8,30/06/2022,"R$ 74,86 M","R$ 8,17 M","R$ 673,00 mil","- R$ 1,02 M","R$ 1,69 M","- R$ 3,01 M","- R$ 0,08",94
9,31/03/2022,"R$ 66,31 M","R$ 8,58 M","R$ 1,56 M","- R$ 952,00 mil","R$ 2,51 M","- R$ 1,63 M","- R$ 0,02",94
10,31/12/2021,"R$ 59,56 M","R$ 8,02 M","R$ 832,00 mil","- R$ 880,00 mil","R$ 1,71 M","- R$ 1,63 M","- R$ 0,02",94
11,30/09/2021,"R$ 54,37 M","R$ 8,00 M","R$ 736,00 mil","- R$ 804,00 mil","R$ 1,54 M","- R$ 1,12 M","- R$ 0,01",94
12,30/06/2021,"R$ 45,27 M","R$ 8,07 M","R$ 1,74 M","- R$ 840,00 mil","R$ 2,58 M","R$ 244,00 mil","R$ 0,00",94
13,31/03/2021,"R$ 36,58 M","R$ 6,86 M","R$ 1,32 M","- R$ 821,00 mil","R$ 2,14 M","- R$ 6,00 mil","- R$ 0,00",94
14,31/12/2020,"R$ 28,52 M","R$ 5,64 M","R$ 662,00 mil","- R$ 756,00 mil","R$ 1,42 M","- R$ 1,37 M","- R$ 0,02",94
15,30/09/2020,"R$ 23,33 M","R$ 5,05 M","R$ 683,00 mil","- R$ 657,00 mil","R$ 1,34 M","- R$ 1,77 M","- R$ 0,02",94
16,30/06/2020,"R$ 19,40 M","R$ 4,41 M","R$ 368,00 mil","- R$ 482,00 mil","R$ 850,00 mil","- R$ 2,72 M","- R$ 0,04",94
17,31/03/2020,"R$ 19,79 M","R$ 4,67 M","R$ 445,00 mil","- R$ 362,00 mil","R$ 807,00 mil","- R$ 3,26 M","- R$ 0,04",94
18,31/12/2019,"R$ 18,66 M","R$ 4,38 M","R$ 240,00 mil","- R$ 309,00 mil","R$ 549,00 mil","- R$ 3,46 M","- R$ 0,05",94
19,30/09/2019,"R$ 18,66 M","R$ 3,99 M","- R$ 1,15 M","- R$ 312,00 mil","- R$ 840,00 mil","- R$ 4,86 M","- R$ 0,06",94
20,30/06/2019,"R$ 13,82 M","R$ 2,72 M","- R$ 1,95 M","- R$ 312,00 mil","- R$ 1,64 M","- R$ 7,47 M","- R$ 0,10",94
21,31/03/2019,"R$ 7,56 M","R$ 1,26 M","- R$ 3,15 M","- R$ 309,00 mil","- R$ 2,84 M","- R$ 10,34 M","- R$ 2,04",94
22,31/12/2018,"R$ 4,46 M","R$ 661,00 mil","- R$ 4,99 M","- R$ 303,00 mil","- R$ 4,68 M","- R$ 13,05 M","- R$ 2,57",94
23,30/09/2018,"R$ 1,20 M","R$ 224,00 mil","- R$ 4,56 M","- R$ 311,00 mil","- R$ 4,25 M","- R$ 17,20 M","- R$ 3,39",94
24,30/06/2018,"R$ 35,00 mil","R$ 35,00 mil","- R$ 23,16 M","- R$ 310,00 mil","- R$ 22,85 M","- R$ 34,69 M","- R$ 6,83",94
25,31/03/2018,"R$ 35,00 mil","R$ 35,00 mil","- R$ 24,45 M","- R$ 313,00 mil","- R$ 24,14 M","- R$ 34,88 M","- R$ 6,86",94
26,31/12/2017,"R$ 35,00 mil","R$ 35,00 mil","- R$ 26,31 M","- R$ 319,00 mil","- R$ 25,99 M","- R$ 36,90 M","- R$ 7,26",94
27,30/09/2017,"R$ 9,00 mil","R$ 9,00 mil","- R$ 25,93 M","- R$ 315,00 mil","- R$ 25,61 M","- R$ 33,15 M","- R$ 0,87",94
