,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 398,81 M","R$ 18,76 M","- R$ 152,55 M","- R$ 5,82 M","- R$ 146,72 M","- R$ 253,38 M","- R$ 5,79"
1,31/03/2024,"R$ 417,69 M","R$ 35,85 M","- R$ 136,19 M","- R$ 5,05 M","- R$ 131,13 M","- R$ 245,89 M","- R$ 5,62"
2,31/12/2023,"R$ 400,80 M","R$ 41,78 M","- R$ 113,36 M","- R$ 4,77 M","- R$ 108,60 M","- R$ 193,75 M","- R$ 4,43"
3,30/09/2023,"R$ 581,46 M","R$ 138,69 M","R$ 19,89 M","- R$ 4,86 M","R$ 24,75 M","- R$ 51,39 M","- R$ 1,17"
4,30/06/2023,"R$ 621,51 M","R$ 153,41 M","R$ 53,79 M","- R$ 4,61 M","R$ 58,40 M","- R$ 3,48 M","- R$ 0,08"
5,31/03/2023,"R$ 665,91 M","R$ 160,75 M","R$ 57,57 M","- R$ 4,59 M","R$ 62,17 M","R$ 20,18 M","R$ 0,46"
6,31/12/2022,"R$ 667,09 M","R$ 165,70 M","R$ 49,49 M","- R$ 4,40 M","R$ 53,89 M","R$ 21,35 M","R$ 0,49"
7,30/09/2022,"R$ 660,85 M","R$ 159,80 M","R$ 38,37 M","- R$ 4,28 M","R$ 42,66 M","R$ 17,24 M","R$ 0,39"
8,30/06/2022,"R$ 610,63 M","R$ 143,17 M","R$ 28,03 M","- R$ 4,68 M","R$ 32,71 M","R$ 12,49 M","R$ 0,29"
9,31/03/2022,"R$ 517,03 M","R$ 126,63 M","R$ 26,11 M","- R$ 5,17 M","R$ 31,28 M","R$ 7,84 M","R$ 0,18"
10,31/12/2021,"R$ 473,40 M","R$ 117,87 M","R$ 19,82 M","- R$ 5,23 M","R$ 25,06 M","R$ 8,47 M","R$ 0,19"
11,30/09/2021,"R$ 380,90 M","R$ 97,08 M","R$ 8,55 M","- R$ 5,10 M","R$ 13,65 M","R$ 19,27 M","R$ 0,44"
12,30/06/2021,"R$ 330,89 M","R$ 82,35 M","R$ 23,52 M","- R$ 4,92 M","R$ 28,44 M","R$ 18,81 M","R$ 0,43"
13,31/03/2021,"R$ 350,50 M","R$ 80,66 M","R$ 24,21 M","- R$ 4,57 M","R$ 28,77 M","R$ 11,43 M","R$ 0,26"
14,31/12/2020,"R$ 316,77 M","R$ 66,87 M","R$ 12,18 M","- R$ 4,58 M","R$ 16,76 M","R$ 1,48 M","R$ 0,03"
15,30/09/2020,"R$ 334,56 M","R$ 81,48 M","R$ 22,68 M","- R$ 4,73 M","R$ 27,41 M","- R$ 6,18 M","- R$ 0,14"
16,30/06/2020,"R$ 343,75 M","R$ 93,66 M","R$ 11,94 M","- R$ 4,75 M","R$ 16,69 M","- R$ 4,29 M","- R$ 0,10"
17,31/03/2020,"R$ 296,70 M","R$ 84,28 M","R$ 3,43 M","- R$ 4,64 M","R$ 8,07 M","R$ 4,05 M","R$ 0,09"
18,31/12/2019,"R$ 319,77 M","R$ 84,08 M","R$ 8,51 M","- R$ 4,46 M","R$ 12,97 M","R$ 1,61 M","R$ 0,04"
19,30/09/2019,"R$ 258,30 M","R$ 56,70 M","- R$ 10,80 M","- R$ 5,32 M","- R$ 5,48 M","- R$ 11,40 M","- R$ 0,26"
20,30/06/2019,"R$ 236,28 M","R$ 50,60 M","- R$ 18,32 M","- R$ 5,75 M","- R$ 12,58 M","- R$ 12,70 M","- R$ 0,29"
21,31/03/2019,"R$ 211,41 M","R$ 45,50 M","- R$ 27,68 M","- R$ 5,78 M","- R$ 21,90 M","- R$ 24,16 M","- R$ 0,55"
22,31/12/2018,"R$ 182,61 M","R$ 40,55 M","- R$ 34,16 M","- R$ 5,85 M","- R$ 28,31 M","- R$ 26,10 M","- R$ 0,60"
23,30/09/2018,"R$ 221,45 M","R$ 39,97 M","- R$ 41,57 M","- R$ 5,58 M","- R$ 36,00 M","- R$ 37,38 M","- R$ 0,85"
24,30/06/2018,"R$ 237,20 M","R$ 28,78 M","- R$ 52,10 M","- R$ 5,91 M","- R$ 46,19 M","- R$ 52,86 M","- R$ 1,21"
25,31/03/2018,"R$ 265,15 M","R$ 15,98 M","- R$ 73,69 M","- R$ 8,02 M","- R$ 65,67 M","- R$ 78,88 M","- R$ 1,80"
26,31/12/2017,"R$ 289,72 M","R$ 11,38 M","- R$ 84,41 M","- R$ 9,26 M","- R$ 75,15 M","- R$ 93,19 M","- R$ 2,13"
27,30/09/2017,"R$ 292,86 M","- R$ 7,31 M","- R$ 122,11 M","- R$ 9,21 M","- R$ 112,90 M","- R$ 129,81 M","- R$ 2,97"
28,30/06/2017,"R$ 365,58 M","R$ 9,26 M","- R$ 120,55 M","- R$ 7,68 M","- R$ 112,88 M","- R$ 132,20 M","- R$ 3,02"
29,31/03/2017,"R$ 371,70 M","R$ 21,25 M","- R$ 103,05 M","- R$ 6,71 M","- R$ 96,35 M","- R$ 114,27 M","- R$ 2,61"
30,31/12/2016,"R$ 385,98 M","R$ 38,02 M","- R$ 67,81 M","- R$ 6,67 M","- R$ 61,14 M","- R$ 75,73 M","- R$ 1,73"
31,30/09/2016,"R$ 442,99 M","R$ 102,17 M","- R$ 17,93 M","- R$ 6,66 M","- R$ 11,28 M","- R$ 16,94 M","- R$ 0,39"
32,30/06/2016,"R$ 445,47 M","R$ 116,05 M","- R$ 66,00 mil","- R$ 6,62 M","R$ 6,55 M","- R$ 369,00 mil","- R$ 0,01"
33,31/03/2016,"R$ 516,32 M","R$ 146,35 M","R$ 18,52 M","- R$ 6,45 M","R$ 24,96 M","R$ 18,96 M","R$ 0,43"
34,31/12/2015,"R$ 557,33 M","R$ 164,16 M","R$ 6,87 M","- R$ 6,32 M","R$ 13,19 M","R$ 6,75 M","R$ 0,15"
35,30/09/2015,"R$ 599,24 M","R$ 160,79 M","R$ 24,48 M","- R$ 5,93 M","R$ 30,40 M","R$ 18,98 M","R$ 0,43"
36,30/06/2015,"R$ 606,55 M","R$ 166,43 M","R$ 37,44 M","- R$ 6,23 M","R$ 43,67 M","R$ 37,12 M","R$ 0,84"
37,31/03/2015,"R$ 628,60 M","R$ 181,64 M","R$ 58,18 M","- R$ 6,52 M","R$ 64,70 M","R$ 55,06 M","R$ 1,24"
38,31/12/2014,"R$ 714,75 M","R$ 210,49 M","R$ 79,98 M","- R$ 6,63 M","R$ 86,61 M","R$ 68,38 M","R$ 1,54"
39,30/09/2014,"R$ 742,89 M","R$ 223,19 M","R$ 129,70 M","- R$ 6,87 M","R$ 136,56 M","R$ 102,89 M","R$ 2,12"
40,30/06/2014,"R$ 791,00 M","R$ 247,51 M","R$ 139,11 M","- R$ 6,32 M","R$ 145,43 M","R$ 100,16 M","R$ 2,06"
41,31/03/2014,"R$ 813,58 M","R$ 253,77 M","R$ 141,93 M","- R$ 5,94 M","R$ 147,87 M","R$ 93,79 M","R$ 1,93"
42,31/12/2013,"R$ 753,54 M","R$ 240,76 M","R$ 158,09 M","- R$ 5,81 M","R$ 163,90 M","R$ 100,53 M","R$ 2,07"
43,30/09/2013,"R$ 567,43 M","R$ 192,35 M","R$ 79,78 M","- R$ 6,72 M","R$ 86,50 M","R$ 64,54 M","R$ 1,33"
44,30/06/2013,"R$ 579,98 M","R$ 190,20 M","R$ 82,41 M","- R$ 6,76 M","R$ 89,18 M","R$ 62,57 M","R$ 1,29"
45,31/03/2013,"R$ 681,00 M","R$ 219,81 M","R$ 117,05 M","- R$ 5,85 M","R$ 122,90 M","R$ 80,71 M","R$ 1,66"
46,31/12/2012,"R$ 798,70 M","R$ 244,00 M","R$ 124,73 M","- R$ 6,30 M","R$ 131,04 M","R$ 84,36 M","R$ 1,74"
47,30/09/2012,"R$ 877,67 M","R$ 255,07 M","R$ 134,83 M","- R$ 4,69 M","R$ 139,52 M","R$ 88,59 M","R$ 1,82"
48,30/06/2012,"R$ 865,83 M","R$ 218,69 M","R$ 100,44 M","- R$ 4,24 M","R$ 104,68 M","R$ 54,98 M","R$ 1,13"
49,31/03/2012,"R$ 769,33 M","R$ 170,55 M","R$ 56,97 M","- R$ 4,00 M","R$ 60,97 M","R$ 14,97 M","R$ 0,31"
50,31/12/2011,"R$ 746,68 M","R$ 166,56 M","R$ 119,91 M","- R$ 4,15 M","R$ 124,06 M","R$ 57,89 M","R$ 1,19"
51,30/09/2011,"R$ 743,60 M","R$ 173,84 M","R$ 116,38 M","- R$ 4,52 M","R$ 120,90 M","R$ 65,87 M","R$ 1,36"
52,30/06/2011,"R$ 781,83 M","R$ 222,39 M","R$ 164,36 M","- R$ 5,15 M","R$ 169,50 M","R$ 108,50 M","R$ 2,23"
53,31/03/2011,"R$ 796,86 M","R$ 247,74 M","R$ 189,31 M","- R$ 5,31 M","R$ 194,62 M","R$ 134,43 M","R$ 2,77"
54,31/12/2010,"R$ 705,12 M","R$ 222,08 M","R$ 103,06 M","- R$ 5,10 M","R$ 108,15 M","R$ 71,66 M","R$ 1,48"
55,30/09/2010,"R$ 616,58 M","R$ 186,88 M","R$ 85,47 M",NA,NA,"R$ 45,83 M","R$ 0,94"
56,30/06/2010,"R$ 493,03 M","R$ 143,07 M","R$ 53,81 M",NA,NA,"R$ 24,43 M","R$ 0,50"
57,31/03/2010,"R$ 478,54 M","R$ 128,42 M","R$ 43,87 M",NA,NA,"R$ 21,46 M","R$ 0,44"
58,31/12/2009,"R$ 466,34 M","R$ 122,66 M","R$ 43,56 M",NA,NA,"R$ 27,77 M","R$ 0,57"
59,30/09/2009,"R$ 447,68 M","R$ 133,46 M","R$ 53,97 M",NA,NA,"R$ 46,07 M","R$ 0,95"
60,30/06/2009,"R$ 474,41 M","R$ 153,35 M","R$ 76,34 M",NA,NA,"R$ 72,30 M","R$ 1,49"
61,31/03/2009,"R$ 437,42 M","R$ 153,86 M","R$ 81,59 M",NA,NA,"R$ 81,92 M","R$ 1,69"
62,31/12/2008,"R$ 403,78 M","R$ 144,50 M","R$ 76,04 M",NA,NA,"R$ 82,82 M","R$ 1,70"
63,30/09/2008,"R$ 346,21 M","R$ 127,22 M","R$ 86,27 M",NA,NA,"R$ 100,71 M","R$ 2,07"
64,30/06/2008,"R$ 266,01 M","R$ 94,16 M","R$ 62,21 M",NA,NA,"R$ 84,10 M","R$ 1,73"
65,31/03/2008,"R$ 181,97 M","R$ 61,74 M","R$ 35,53 M",NA,NA,"R$ 66,83 M","R$ 1,38"
66,31/12/2007,"R$ 128,25 M","R$ 44,21 M","R$ 5,25 M",NA,NA,"R$ 40,29 M","R$ 0,83"
67,30/09/2007,"R$ 91,70 M","R$ 30,04 M","- R$ 8,13 M",NA,NA,"R$ 18,82 M","R$ 0,39"
68,30/06/2007,"R$ 67,21 M","R$ 22,73 M","- R$ 13,14 M",NA,NA,"R$ 4,14 M","R$ 0,09"
69,31/03/2007,"R$ 55,46 M","R$ 18,94 M","- R$ 13,41 M",NA,NA,"- R$ 7,73 M","- R$ 0,16"
70,31/12/2006,"R$ 47,01 M","R$ 16,90 M","R$ 4,92 M",NA,NA,"R$ 2,37 M","R$ 0,09"
71,30/09/2006,NA,NA,NA,NA,NA,NA,NA
72,30/06/2006,NA,NA,NA,NA,NA,NA,NA
