,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-0,55","0,38","0,28","-0,64","-0,64","0,07","-0,99","0,60","-5,34","-5,62","-0,11","1,48","-3,45","0,40","R$ 122,56 M","0,00%"
1,30/09/2024,"-0,60","0,42","0,30","-0,71","-0,71","0,08","-1,09","0,66","-5,44","-5,73","-0,12","1,51","-3,51","0,40","R$ 134,81 M","0,00%"
2,30/06/2024,"-0,55","0,41","0,35","-0,61","-0,61","0,08","-0,91","0,53","-4,29","-4,46","-0,12","1,64","-2,88","0,38","R$ 138,31 M","0,00%"
3,31/03/2024,"-0,64","0,44","0,38","-0,74","-0,73","0,09","-1,16","0,48","-5,12","-5,32","-0,15","1,67","-3,20","0,39","R$ 158,45 M","0,00%"
4,31/12/2023,"-0,90","0,39","0,44","-0,85","-0,84","0,09","-1,54","0,46","-6,44","-6,73","-0,16","1,82","-3,49","0,38","R$ 174,64 M","3,61%"
5,30/09/2023,"-3,80","0,34","0,34","-1,35","-1,30","0,08","9,81","0,83","47,50","38,17","-0,13","1,63","-6,28","0,40","R$ 195,21 M","3,23%"
6,30/06/2023,"-73,64","0,41","0,41","-1,49","-1,44","0,11","4,76","0,88","17,78","16,38","-0,18","1,54","-5,37","0,41","R$ 256,05 M","2,46%"
7,31/03/2023,"11,26","0,35","0,34","-1,29","-1,25","0,10","3,95","0,89","15,07","13,96","-0,17","1,30","-4,77","0,39","R$ 227,17 M","2,78%"
8,31/12/2022,"12,30","0,41","0,39","-1,75","-1,69","0,12","5,31","0,96","17,02","15,63","-0,20","1,26","-5,43","0,38","R$ 262,62 M","0,95%"
9,30/09/2022,"17,85","0,48","0,47","-2,65","-2,53","0,14","8,02","1,45","22,25","20,02","-0,23","1,29","-7,03","0,39","R$ 307,70 M","0,81%"
10,30/06/2022,"25,24","0,50","0,52","-3,54","-3,33","0,15","11,24","0,92","30,22","25,89","-0,28","1,39","-8,95","0,40","R$ 315,14 M","0,79%"
11,31/03/2022,"44,59","0,56","0,68","-5,21","-4,78","0,18","13,39","0,91","31,21","26,05","-0,37","1,58","-11,14","0,42","R$ 349,72 M","0,72%"
