,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 32,97 B","R$ 7,85 B","R$ 5,18 B","- R$ 5,65 B","R$ 10,82 B","R$ 1,54 B","R$ 1,43"
1,31/03/2024,"R$ 30,76 B","R$ 8,65 B","R$ 6,11 B","- R$ 4,71 B","R$ 10,82 B","R$ 2,02 B","R$ 1,88"
2,31/12/2023,"R$ 28,90 B","R$ 8,27 B","R$ 5,90 B","- R$ 4,62 B","R$ 10,52 B","R$ 1,81 B","R$ 0,00"
3,30/09/2023,"R$ 26,88 B","R$ 7,81 B","R$ 5,32 B","- R$ 4,38 B","R$ 9,70 B","R$ 1,55 B","R$ 1,46"
4,30/06/2023,"R$ 25,69 B","R$ 7,71 B","R$ 5,14 B","- R$ 4,16 B","R$ 9,31 B","R$ 1,30 B","R$ 1,23"
5,31/03/2023,"R$ 21,90 B","R$ 7,51 B","R$ 5,22 B","- R$ 2,86 B","R$ 8,08 B","R$ 1,85 B","R$ 1,87"
6,31/12/2022,"R$ 17,78 B","R$ 6,65 B","R$ 4,53 B","- R$ 2,06 B","R$ 6,59 B","R$ 1,84 B","R$ 1,87"
7,30/09/2022,"R$ 14,53 B","R$ 5,86 B","R$ 4,08 B","- R$ 1,39 B","R$ 5,47 B","R$ 1,84 B","R$ 1,88"
8,30/06/2022,"R$ 11,17 B","R$ 5,17 B","R$ 3,69 B","- R$ 691,35 M","R$ 4,38 B","R$ 2,09 B","R$ 2,75"
9,31/03/2022,"R$ 10,82 B","R$ 4,91 B","R$ 3,47 B","- R$ 563,01 M","R$ 4,03 B","R$ 2,08 B","R$ 2,74"
10,31/12/2021,"R$ 10,90 B","R$ 4,70 B","R$ 3,22 B","- R$ 473,50 M","R$ 3,70 B","R$ 2,04 B","R$ 2,69"
11,30/09/2021,"R$ 11,14 B","R$ 4,54 B","R$ 3,10 B","- R$ 418,78 M","R$ 3,51 B","R$ 2,00 B","R$ 2,64"
12,30/06/2021,"R$ 11,44 B","R$ 3,88 B","R$ 2,53 B","- R$ 445,40 M","R$ 2,98 B","R$ 1,66 B","R$ 2,19"
13,31/03/2021,"R$ 10,31 B","R$ 3,22 B","R$ 2,08 B","- R$ 565,44 M","R$ 2,64 B","R$ 1,30 B","R$ 1,71"
14,31/12/2020,"R$ 10,31 B","R$ 2,90 B","R$ 1,80 B","- R$ 666,34 M","R$ 2,47 B","R$ 1,05 B","R$ 1,38"
15,30/09/2020,"R$ 10,37 B","R$ 2,60 B","R$ 1,57 B","- R$ 776,55 M","R$ 2,35 B","R$ 874,72 M","R$ 1,15"
16,30/06/2020,"R$ 9,89 B","R$ 2,43 B","R$ 1,42 B","- R$ 820,38 M","R$ 2,24 B","R$ 753,88 M","R$ 0,99"
17,31/03/2020,"R$ 10,62 B","R$ 2,66 B","R$ 1,55 B","- R$ 761,88 M","R$ 2,31 B","R$ 854,03 M","R$ 1,13"
18,31/12/2019,"R$ 10,20 B","R$ 2,51 B","R$ 1,49 B","- R$ 723,13 M","R$ 2,21 B","R$ 833,94 M","R$ 1,10"
19,30/09/2019,"R$ 9,76 B","R$ 2,36 B","R$ 1,42 B","- R$ 607,42 M","R$ 2,03 B","R$ 787,02 M","R$ 1,09"
