,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"6,43%","5,84%","9,74%","8,85%","6,17%","2,13%","23,80%","4,66%","15,71%","32,83%","0,46","3,20","2,20","3,95"
1,31/03/2024,"8,20%","7,43%","12,42%","11,26%","9,67%","3,04%","28,13%","6,56%","19,86%","35,17%","0,46","3,07","2,07","3,77"
2,31/12/2023,"8,19%","7,44%","12,41%","11,27%","8,78%","2,75%","28,62%","6,25%","20,41%","36,41%","0,44","3,19","2,19","3,67"
3,30/09/2023,"8,24%","7,37%","12,49%","11,16%","7,60%","2,41%","29,04%","5,75%","19,78%","36,09%","0,42","2,93","1,93","3,71"
4,30/06/2023,"13,28%","14,55%","20,11%","22,05%","15,56%","4,29%","30,00%","5,08%","20,02%","36,22%","0,84","2,89","1,89","3,61"
5,31/03/2023,"14,74%","16,26%","22,33%","24,64%","23,02%","6,92%","34,32%","8,45%","23,82%","36,89%","0,82","3,18","2,18","4,14"
6,31/12/2022,"13,82%","15,25%","20,95%","23,10%","24,21%","7,29%","37,38%","10,37%","25,47%","37,07%","0,70","3,19","2,19","4,82"
7,30/09/2022,"13,92%","15,23%","21,09%","23,07%","24,66%","8,39%","40,31%","12,67%","28,05%","37,65%","0,66","3,16","2,16","4,99"
8,30/06/2022,"12,92%","13,88%","19,57%","21,03%","30,43%","9,75%","46,27%","18,70%","33,01%","39,20%","0,52","3,63","2,63","3,41"
9,31/03/2022,"14,15%","15,23%","21,45%","23,08%","32,10%","10,23%","45,36%","19,22%","32,06%","37,27%","0,53","3,33","2,33","3,26"
10,31/12/2021,"14,17%","15,24%","21,46%","23,09%","33,76%","10,00%","43,10%","18,75%","29,57%","33,92%","0,53","3,32","2,32","3,24"
11,30/09/2021,"13,68%","14,59%","20,72%","22,10%","35,00%","10,09%","40,72%","17,98%","27,79%","31,55%","0,56","2,94","1,94","2,90"
12,30/06/2021,"11,38%","12,13%","17,25%","18,38%","30,35%","8,70%","33,90%","14,49%","22,13%","26,02%","0,60","3,12","2,12","3,58"
13,31/03/2021,"9,18%","9,88%","13,91%","14,97%","23,94%","6,30%","31,27%","12,60%","20,13%","25,62%","0,50","3,14","2,14","3,24"
14,31/12/2020,"8,71%","9,43%","13,19%","14,29%","19,24%","5,40%","28,12%","10,17%","17,48%","23,94%","0,53","3,38","2,38","3,21"
15,30/09/2020,"8,47%","9,22%","12,84%","13,97%","16,54%","5,09%","25,07%","8,43%","15,12%","22,61%","0,60","3,47","2,47","3,53"
16,30/06/2020,"8,44%","9,26%","12,79%","14,03%","14,64%","4,69%","24,54%","7,63%","14,38%","22,68%","0,62","3,49","2,49","3,70"
17,31/03/2020,"9,97%","10,97%","15,11%","16,61%","17,02%","5,24%","25,02%","8,04%","14,56%","21,73%","0,65","3,80","2,80","3,66"
18,31/12/2019,"10,90%","11,48%","16,52%","17,39%","26,95%","5,96%","24,62%","8,18%","14,61%","21,70%","0,73","3,56","2,56","3,24"
19,30/09/2019,"10,68%","11,21%","16,18%","16,98%","26,60%","6,13%","24,17%","8,06%","14,60%","20,82%","0,76","3,25","2,25","2,92"
20,30/06/2019,"10,42%","10,90%","15,79%","16,51%","26,12%","6,71%","24,54%","8,10%","14,94%","20,56%","0,83","3,12","2,12","2,64"
21,31/03/2019,"10,96%","11,48%","16,61%","17,39%","25,49%","6,19%","25,22%","8,14%","15,30%","20,31%","0,76","3,25","2,25","2,47"
22,31/12/2018,"10,26%","10,70%","15,55%","16,21%","25,35%","5,89%","26,22%","8,35%","15,89%","20,14%","0,71","4,52","3,52","3,44"
23,30/09/2018,"12,79%","13,41%","19,38%","20,31%","24,31%","6,11%","26,62%","8,20%","15,69%","19,81%","0,74","4,34","3,34","3,68"
24,30/06/2018,"15,39%","16,06%","23,31%","24,34%","23,86%","6,55%","27,23%","8,28%","16,01%","20,03%","0,79","3,89","2,89","3,92"
25,31/03/2018,"15,63%","16,26%","23,68%","24,63%","24,38%","7,89%","27,43%","8,58%","16,34%","20,49%","0,92","4,12","3,12","3,56"
26,31/12/2017,"14,36%","14,91%","21,76%","22,59%","23,02%","6,82%","27,19%","8,35%","16,00%","20,47%","0,82","4,30","3,30","4,14"
27,30/09/2017,"14,29%","14,89%","21,65%","22,56%","22,23%","7,27%","27,22%","8,59%","16,38%","21,19%","0,85","3,98","2,98","2,75"
28,30/06/2017,"14,62%","15,25%","22,14%","23,11%","22,07%","7,24%","27,68%","8,95%","16,72%","21,87%","0,81","3,64","2,64","1,93"
29,31/03/2017,"14,27%","14,87%","21,63%","22,53%","21,21%","7,03%","28,19%","9,01%","16,88%","22,28%","0,78","3,09","2,09","1,93"
