,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 36,78 M","- R$ 32,66 M","R$ 34,00 mil","R$ 4,16 M"
1,31/03/2024,"R$ 16,47 M","- R$ 16,50 M","R$ 33,00 mil","R$ 4,00 mil"
2,31/12/2023,"R$ 20,20 M","- R$ 21,45 M","R$ 40,00 mil","- R$ 1,20 M"
3,30/09/2023,"R$ 42,90 M","- R$ 41,74 M","R$ 38,00 mil","R$ 1,20 M"
4,30/06/2023,"- R$ 16,21 M","R$ 16,17 M","R$ 41,00 mil","R$ 3,00 mil"
5,31/03/2023,"R$ 10,10 M","- R$ 11,14 M","R$ 27,00 mil","- R$ 1,01 M"
6,31/12/2022,"R$ 20,57 M","- R$ 19,61 M","R$ 39,00 mil","R$ 998,00 mil"
7,30/09/2022,"R$ 20,75 M","- R$ 20,75 M","R$ 1.000,00","- R$ 1.000,00"
8,30/06/2022,"R$ 25,52 M","- R$ 25,54 M","R$ 24,00 mil","R$ 4,00 mil"
9,31/03/2022,"R$ 18,00 M","- R$ 18,04 M","R$ 34,00 mil","- R$ 3,00 mil"
10,31/12/2021,"R$ 8,49 M","- R$ 8,51 M","R$ 23,00 mil","R$ 6,00 mil"
11,30/09/2021,"R$ 14,71 M","- R$ 14,74 M","R$ 29,00 mil","- R$ 8,00 mil"
12,30/06/2021,"R$ 9,15 M","- R$ 9,17 M","R$ 25,00 mil","R$ 5,00 mil"
13,31/03/2021,"R$ 8,36 M","- R$ 8,38 M","R$ 15,00 mil","R$ 1.000,00"
14,31/12/2020,"R$ 12,06 M","- R$ 12,14 M","R$ 75,00 mil","- R$ 10,00 mil"
15,30/09/2020,"R$ 6,64 M","- R$ 6,68 M","R$ 0,00","- R$ 36,00 mil"
16,30/06/2020,"R$ 6,96 M","- R$ 6,98 M","R$ 0,00","- R$ 18,00 mil"
17,31/03/2020,"R$ 10,70 M","- R$ 10,68 M","R$ 0,00","R$ 20,00 mil"
18,31/12/2019,"R$ 23,25 M","- R$ 11,44 M","- R$ 11,78 M","R$ 21,00 mil"
19,30/09/2019,"- R$ 4,88 M","- R$ 7,09 M","R$ 11,95 M","- R$ 18,00 mil"
20,30/06/2019,"R$ 17,88 M","- R$ 5,89 M","- R$ 11,99 M","R$ 3,00 mil"
21,31/03/2019,"R$ 3,97 M","- R$ 4,03 M","R$ 38,00 mil","- R$ 18,00 mil"
22,31/12/2018,"R$ 62,65 M","- R$ 33,37 M","- R$ 29,36 M","- R$ 73,00 mil"
23,30/09/2018,"R$ 8,32 M","- R$ 8,24 M","R$ 0,00","R$ 75,00 mil"
24,30/06/2018,"R$ 9,89 M","- R$ 9,93 M","R$ 0,00","- R$ 39,00 mil"
25,31/03/2018,"R$ 3,27 M","- R$ 3,25 M","R$ 0,00","R$ 27,00 mil"
26,31/12/2017,"R$ 3,40 M","- R$ 3,40 M","R$ 0,00","- R$ 1.000,00"
27,30/09/2017,"R$ 4,48 M","- R$ 4,41 M","R$ 0,00","R$ 74,00 mil"
28,30/06/2017,"R$ 1,55 M","- R$ 1,55 M","R$ 0,00","R$ 0,00"
29,31/03/2017,"R$ 1,88 M","- R$ 1,87 M","R$ 0,00","R$ 5,00 mil"
30,31/12/2016,"R$ 744,00 mil","- R$ 99,00 mil","R$ 0,00","R$ 645,00 mil"
31,30/09/2016,"- R$ 132,00 mil","- R$ 20,00 mil","R$ 0,00","- R$ 152,00 mil"
32,30/06/2016,"R$ 628,00 mil","- R$ 738,00 mil","R$ 0,00","- R$ 110,00 mil"
33,31/03/2016,"- R$ 298,00 mil","- R$ 145,00 mil","R$ 0,00","- R$ 443,00 mil"
34,31/12/2015,"R$ 395,00 mil","R$ 34,00 mil","R$ 0,00","R$ 429,00 mil"
35,30/09/2015,"- R$ 351,00 mil","R$ 0,00","R$ 0,00","- R$ 351,00 mil"
36,30/06/2015,"R$ 611,00 mil","- R$ 20,00 mil","R$ 0,00","R$ 591,00 mil"
37,31/03/2015,"- R$ 1,29 M","- R$ 22,00 mil","R$ 0,00","- R$ 1,31 M"
38,31/12/2014,"R$ 1,22 M","R$ 145,00 mil","R$ 0,00","R$ 1,36 M"
39,30/09/2014,"R$ 7,00 mil","- R$ 7,00 mil","R$ 0,00","R$ 0,00"
40,30/06/2014,"- R$ 2,30 M","R$ 1.000,00","R$ 0,00","- R$ 2,30 M"
41,31/03/2014,"R$ 2,30 M","- R$ 2,00 mil","R$ 0,00","R$ 2,29 M"
42,31/12/2013,"- R$ 3,54 M","R$ 3,54 M","R$ 0,00","- R$ 1.000,00"
43,30/09/2013,"- R$ 20,81 M","R$ 16,93 M","R$ 0,00","- R$ 3,88 M"
44,30/06/2013,"R$ 4,32 M","- R$ 466,00 mil","R$ 0,00","R$ 3,85 M"
45,31/03/2013,"R$ 20,00 M","- R$ 20,02 M","R$ 0,00","- R$ 13,00 mil"
46,31/12/2012,"- R$ 56,30 M","R$ 55,79 M","R$ 0,00","- R$ 514,00 mil"
47,30/09/2012,"R$ 3,77 M","- R$ 4,86 M","R$ 0,00","- R$ 1,09 M"
48,30/06/2012,"R$ 3,52 M","- R$ 2,24 M","R$ 0,00","R$ 1,28 M"
49,31/03/2012,"R$ 3,76 M","- R$ 4,25 M","R$ 0,00","- R$ 490,00 mil"
50,31/12/2011,"- R$ 4,62 M","R$ 4,81 M","R$ 0,00","R$ 188,00 mil"
51,30/09/2011,"R$ 25,38 M","- R$ 15,80 M","- R$ 8,98 M","R$ 595,00 mil"
52,30/06/2011,"R$ 2,82 M","- R$ 11,91 M","R$ 8,98 M","- R$ 116,00 mil"
53,31/03/2011,"R$ 2,68 M","- R$ 3,17 M","R$ 0,00","- R$ 491,00 mil"
