,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 2,59 B","R$ 1,36 B","R$ 3,81",152.692.764,204.682.016,204.682.016,357.374.780,3.036,223.0,223.0,226.036,152.689.728,204.459.016,357.148.744,204
1,31/03/2024,"R$ 2,42 B","R$ 1,32 B","R$ 3,69",152.692.764,204.682.016,204.682.016,357.374.780,3.036,223.0,223.0,226.036,152.689.728,204.459.016,357.148.744,204
2,31/12/2023,"R$ 2,38 B","R$ 1,30 B","R$ 3,63",152.692.764,204.682.016,204.682.016,357.374.780,3.036,223.0,223.0,226.036,152.689.728,204.459.016,357.148.744,204
3,30/09/2023,"R$ 2,40 B","R$ 1,25 B","R$ 3,51",152.692.764,204.682.016,204.682.016,357.374.780,3.036,223.0,223.0,226.036,152.689.728,204.459.016,357.148.744,204
4,30/06/2023,"R$ 2,29 B","R$ 1,20 B","R$ 3,35",152.692.764,204.682.016,204.682.016,357.374.780,3.036,226.0,226.0,229.036,152.689.728,204.456.016,357.145.744,204
5,31/03/2023,"R$ 2,38 B","R$ 1,15 B","R$ 3,22",152.692.764,204.682.016,204.682.016,357.374.780,3.036,228.4,228.4,231.436,152.689.728,204.453.616,357.143.344,204
6,31/12/2022,"R$ 2,37 B","R$ 1,11 B","R$ 3,12",152.692.764,204.682.016,204.682.016,357.374.780,3.036,228.4,228.4,231.436,152.689.728,204.453.616,357.143.344,204
7,30/09/2022,"R$ 2,31 B","R$ 1,04 B","R$ 2,91",152.692.764,204.682.016,204.682.016,357.374.780,30.34,228.4,228.4,258.74,152.662.424,204.453.616,357.116.040,204
8,30/06/2022,"R$ 2,25 B","R$ 975,59 M","R$ 2,73",152.692.764,204.682.016,204.682.016,357.374.780,30.24,228.4,228.4,258.64,152.662.524,204.453.616,357.116.140,204
9,31/03/2022,"R$ 2,17 B","R$ 940,23 M","R$ 5,26",76.346.382,102.341.008,102.341.008,178.687.390,15.12,114.2,114.2,129.32,76.331.262,102.226.808,178.558.070,204
10,31/12/2021,"R$ 2,18 B","R$ 908,48 M","R$ 5,08",76.346.382,102.341.008,102.341.008,178.687.390,15.12,161.822,161.822,176.942,76.331.262,102.179.186,178.510.448,204
