,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 357,06 M","- R$ 411,98 M","R$ 485,88 M","R$ 472,93 M",106
1,31/03/2024,"R$ 248,28 M","- R$ 396,91 M","R$ 1,09 M","- R$ 141,61 M",106
2,31/12/2023,"R$ 320,69 M","- R$ 537,60 M","R$ 15,26 M","- R$ 210,86 M",106
3,30/09/2023,"R$ 340,07 M","- R$ 237,36 M","- R$ 886,00 mil","R$ 109,70 M",106
4,30/06/2023,"R$ 261,98 M","- R$ 192,91 M","- R$ 204,80 M","- R$ 132,48 M",106
5,31/03/2023,"R$ 387,55 M","- R$ 25,51 M","- R$ 281,40 M","R$ 85,66 M",106
6,31/12/2022,"R$ 155,54 M","- R$ 307,34 M","R$ 259,66 M","- R$ 1,54 B",106
7,30/09/2022,"R$ 183,63 M","- R$ 93,31 M","- R$ 86,84 M","R$ 21,00 M",106
8,30/06/2022,"R$ 73,10 M","R$ 48,59 M","- R$ 595,92 M","R$ 462,04 M",106
9,31/03/2022,"R$ 121,56 M","- R$ 295,28 M","- R$ 105,14 M","R$ 346,17 M",106
10,31/12/2021,"R$ 20,51 M","- R$ 332,33 M","R$ 513,97 M","R$ 197,63 M",106
11,30/09/2021,"R$ 12,55 M","- R$ 1,80 B","R$ 2,72 B","R$ 968,20 M",106
12,30/06/2021,"R$ 16,25 M","- R$ 75,59 M","R$ 52,46 M","- R$ 71,12 M",106
13,31/03/2021,"- R$ 15,78 M","- R$ 142,04 M","- R$ 28,77 M","- R$ 156,49 M",106
14,31/12/2020,"- R$ 49,54 M","- R$ 71,21 M","R$ 300,44 M","R$ 221,51 M",106
15,30/09/2020,"- R$ 21,83 M","- R$ 292,54 M","- R$ 29,67 M","- R$ 364,53 M",106
16,30/06/2020,"- R$ 188,97 M","- R$ 98,77 M","R$ 11,88 M","- R$ 183,85 M",106
17,31/03/2020,"R$ 104,07 M","- R$ 265,22 M","R$ 137,32 M","- R$ 4,90 M",106
18,31/12/2019,"R$ 305,70 M","- R$ 334,43 M","R$ 675,05 M","R$ 613,46 M",106
19,30/09/2019,"R$ 57,47 M","- R$ 251,59 M","- R$ 285,95 M","- R$ 473,68 M",106
20,30/06/2019,"R$ 9,20 M","- R$ 134,09 M","R$ 816,04 M","R$ 689,02 M",106
21,31/03/2019,"R$ 129,86 M","- R$ 162,43 M","- R$ 114,65 M","- R$ 144,20 M",106
22,31/12/2018,"R$ 63,12 M","- R$ 168,24 M","R$ 84,37 M","R$ 569,00 mil",106
23,30/09/2018,"R$ 47,44 M","- R$ 193,48 M","R$ 247,30 M","R$ 90,18 M",106
24,30/06/2018,"R$ 23,35 M","- R$ 129,44 M","R$ 190,58 M","R$ 94,68 M",106
25,31/03/2018,"- R$ 2,38 M","- R$ 78,26 M","- R$ 236,05 M","- R$ 315,81 M",106
26,31/12/2017,"R$ 39,79 M","- R$ 77,22 M","R$ 519,27 M","R$ 483,87 M",106
27,30/09/2017,"R$ 36,76 M","- R$ 98,14 M","R$ 156,90 M","R$ 94,50 M",106
28,30/06/2017,"R$ 35,00 M","- R$ 75,15 M","R$ 98,11 M","R$ 58,89 M",106
29,31/03/2017,"R$ 15,17 M","- R$ 61,43 M","- R$ 16,25 M","- R$ 62,43 M",106
30,31/12/2016,,,,,106
