,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 87,57 M","R$ 31,53 M","R$ 13,05 M","R$ 10,87 M","R$ 2,18 M","R$ 4,37 M","R$ 0,03",169
1,31/03/2024,"R$ 69,10 M","- R$ 7,73 M","- R$ 28,16 M","- R$ 4,91 M","- R$ 23,25 M","- R$ 5,84 M","- R$ 0,05",169
2,31/12/2023,"R$ 841,08 M","R$ 145,44 M","R$ 124,80 M","- R$ 5,19 M","R$ 129,99 M","R$ 201,78 M","R$ 1,72",169
3,30/09/2023,"R$ 987,42 M","R$ 135,59 M","R$ 127,22 M","- R$ 17,19 M","R$ 144,42 M","R$ 101,24 M","R$ 0,86",169
4,30/06/2023,"R$ 134,43 M","R$ 52,06 M","R$ 37,29 M","R$ 10,17 M","R$ 27,12 M","R$ 27,83 M","R$ 0,24",169
5,31/03/2023,"R$ 115,81 M","- R$ 25,18 M","- R$ 35,80 M","- R$ 3,72 M","- R$ 32,09 M","- R$ 19,14 M","- R$ 0,16",169
6,31/12/2022,"R$ 690,12 M","R$ 131,28 M","R$ 104,06 M","- R$ 3,69 M","R$ 107,75 M","R$ 88,87 M","R$ 0,76",169
7,30/09/2022,"R$ 881,53 M","R$ 102,76 M","R$ 95,54 M","- R$ 593,00 mil","R$ 93,33 M","R$ 87,72 M","R$ 0,75",169
8,30/06/2022,"R$ 125,32 M","R$ 11,28 M","R$ 6,59 M","- R$ 1,07 M","- R$ 9,18 M","R$ 6,20 M","R$ 0,05",169
9,31/03/2022,"R$ 74,51 M","- R$ 10,28 M","- R$ 16,81 M","- R$ 513,00 mil","- R$ 16,30 M","- R$ 7,00 M","- R$ 0,06",169
10,31/12/2021,"R$ 403,24 M","R$ 46,53 M","R$ 37,42 M","- R$ 441,00 mil","R$ 37,86 M","R$ 30,87 M","R$ 0,26",169
11,30/09/2021,"R$ 586,66 M","R$ 99,28 M","R$ 88,78 M","- R$ 503,00 mil","R$ 89,29 M","R$ 88,09 M","R$ 0,75",169
12,30/06/2021,"R$ 41,01 M","R$ 21,48 M","R$ 17,49 M","- R$ 481,00 mil","R$ 17,97 M","R$ 11,70 M","R$ 0,10",169
13,31/03/2021,"R$ 13,43 M","R$ 3,46 M","- R$ 622,00 mil","- R$ 477,00 mil","- R$ 145,00 mil","- R$ 2,84 M","- R$ 0,04",169
14,31/12/2020,"R$ 232,23 M","R$ 52,51 M","R$ 44,22 M","- R$ 657,00 mil","R$ 44,87 M","R$ 38,69 M","R$ 4,38",169
15,30/09/2020,"R$ 305,36 M","R$ 48,11 M","R$ 43,25 M","- R$ 266,00 mil","R$ 43,52 M","R$ 26,88 M","R$ 3,04",169
16,30/06/2020,"R$ 49,73 M","R$ 10,49 M","R$ 8,42 M","- R$ 424,00 mil","R$ 8,85 M","R$ 2,82 M","R$ 0,32",169
17,31/03/2020,"R$ 1,21 M","R$ 10,49 M","R$ 7,51 M","- R$ 414,00 mil","R$ 7,92 M","R$ 1,81 M","R$ 0,21",169
18,31/12/2019,,,,,,,,169
