,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 3,29 B","R$ 1,15 B","R$ 1,40 B","- R$ 599,90 M","R$ 2,00 B","R$ 281,34 M","R$ 0,45",89
1,31/03/2024,"R$ 3,14 B","R$ 1,08 B","R$ 1,36 B","- R$ 525,73 M","R$ 1,88 B","R$ 282,36 M","R$ 0,45",89
2,31/12/2023,"R$ 3,04 B","R$ 1,02 B","R$ 952,09 M","- R$ 472,11 M","R$ 1,42 B","R$ 62,84 M","R$ 0,10",89
3,30/09/2023,"R$ 2,78 B","R$ 886,48 M","R$ 822,06 M","- R$ 443,36 M","R$ 1,27 B","R$ 54,79 M","R$ 0,09",89
4,30/06/2023,"R$ 2,58 B","R$ 727,84 M","R$ 674,78 M","- R$ 429,62 M","R$ 1,10 B","- R$ 4,09 M","- R$ 0,01",89
5,31/03/2023,"R$ 2,49 B","R$ 694,60 M","R$ 634,66 M","- R$ 415,36 M","R$ 1,05 B","R$ 3,86 M","R$ 0,01",89
6,31/12/2022,"R$ 2,44 B","R$ 668,27 M","R$ 591,47 M","- R$ 409,66 M","R$ 1,00 B","- R$ 8,03 M","- R$ 0,01",89
7,30/09/2022,"R$ 1,95 B","R$ 555,38 M","R$ 1,13 B","- R$ 341,32 M","R$ 1,47 B","R$ 453,26 M","R$ 0,80",89
8,30/06/2022,"R$ 1,29 B","R$ 353,04 M","R$ 951,79 M","- R$ 238,59 M","R$ 1,19 B","R$ 409,06 M","R$ 0,72",89
9,31/03/2022,"R$ 772,22 M","R$ 240,14 M","R$ 873,64 M","- R$ 136,85 M","R$ 1,01 B","R$ 502,33 M","R$ 0,90",89
10,31/12/2021,"R$ 238,30 M","R$ 134,43 M","R$ 796,42 M","- R$ 35,17 M","R$ 831,60 M","R$ 598,23 M","R$ 1,08",89
11,30/09/2021,,,,"- R$ 157,86 M","- R$ 157,86 M",,,89
12,30/06/2021,,,,"- R$ 157,86 M","- R$ 157,86 M",,,89
