,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 216,10 M","R$ 1,09 B","- R$ 245,99 M","R$ 1,06 B",165
1,31/03/2024,"R$ 94,09 M","R$ 280,75 M","- R$ 103,06 M","R$ 271,78 M",165
2,31/12/2023,"R$ 74,19 M","R$ 38,66 M","- R$ 79,89 M","R$ 32,95 M",165
3,30/09/2023,"R$ 42,89 M","R$ 66,53 M","- R$ 91,36 M","R$ 18,07 M",165
4,30/06/2023,"R$ 9,14 M","R$ 178,79 M","- R$ 298,02 M","- R$ 110,09 M",165
5,31/03/2023,"- R$ 8,04 M","R$ 444,96 M","- R$ 535,25 M","- R$ 98,34 M",165
6,31/12/2022,"R$ 17,62 M","R$ 359,32 M","- R$ 691,56 M","- R$ 314,63 M",165
7,30/09/2022,"R$ 2,63 B","- R$ 544,77 M","- R$ 2,28 B","- R$ 193,78 M",165
8,30/06/2022,"R$ 2,18 B","- R$ 165,58 M","- R$ 2,13 B","- R$ 121,79 M",165
9,31/03/2022,"R$ 2,21 B","- R$ 520,65 M","- R$ 1,57 B","R$ 113,71 M",165
10,31/12/2021,"R$ 2,20 B","- R$ 398,02 M","- R$ 1,51 B","R$ 290,95 M",165
11,30/09/2021,"- R$ 321,41 M","R$ 427,18 M","- R$ 63,87 M","R$ 41,89 M",165
12,30/06/2021,"R$ 171,17 M","- R$ 7,62 M","- R$ 142,78 M","R$ 20,77 M",165
13,31/03/2021,"R$ 122,80 M","R$ 184,30 M","- R$ 505,39 M","- R$ 198,29 M",165
14,31/12/2020,"R$ 120,36 M","R$ 99,46 M","- R$ 465,04 M","- R$ 245,23 M",165
15,30/09/2020,"R$ 124,72 M","- R$ 1,36 B","R$ 1,33 B","R$ 97,92 M",165
16,30/06/2020,"R$ 110,80 M","- R$ 1,34 B","R$ 1,18 B","- R$ 46,74 M",165
17,31/03/2020,"R$ 195,87 M","- R$ 1,60 B","R$ 1,56 B","R$ 162,63 M",165
18,31/12/2019,"R$ 179,59 M","- R$ 1,56 B","R$ 1,57 B","R$ 185,41 M",165
19,30/09/2019,"R$ 193,53 M","- R$ 52,27 M","- R$ 197,93 M","- R$ 56,67 M",165
20,30/06/2019,"R$ 143,75 M","- R$ 57,71 M","R$ 27,45 M","R$ 113,49 M",165
21,31/03/2019,"R$ 106,07 M","R$ 79,22 M","- R$ 291,72 M","- R$ 106,42 M",165
22,31/12/2018,"R$ 146,72 M","- R$ 15,95 M","- R$ 85,20 M","R$ 45,57 M",165
23,30/09/2018,"R$ 212,74 M","- R$ 149,62 M","- R$ 73,96 M","- R$ 10,83 M",165
24,30/06/2018,"R$ 216,66 M","R$ 865,54 M","- R$ 1,03 B","R$ 50,31 M",165
25,31/03/2018,"R$ 221,70 M","R$ 778,77 M","- R$ 947,32 M","R$ 53,15 M",165
26,31/12/2017,"R$ 146,65 M","R$ 863,84 M","- R$ 1,19 B","- R$ 178,25 M",165
27,30/09/2017,"- R$ 439,58 M","R$ 1,45 B","- R$ 985,76 M","R$ 28,02 M",165
28,30/06/2017,"R$ 127,76 M","- R$ 295,66 M","R$ 120,49 M","- R$ 47,41 M",165
29,31/03/2017,"R$ 6,49 M","- R$ 358,56 M","R$ 112,36 M","- R$ 239,71 M",165
30,31/12/2016,"R$ 157,15 M","- R$ 308,73 M","- R$ 65,91 M","- R$ 217,50 M",165
31,30/09/2016,"R$ 590,93 M","- R$ 835,20 M","- R$ 173,33 M","- R$ 417,59 M",165
32,30/06/2016,"- R$ 9,62 M","- R$ 215,33 M","R$ 245,32 M","R$ 20,36 M",165
33,31/03/2016,"R$ 18,28 M","- R$ 104,62 M","R$ 173,81 M","R$ 87,47 M",165
34,31/12/2015,"- R$ 271,09 M","- R$ 180,82 M","R$ 444,99 M","- R$ 6,92 M",165
35,30/09/2015,"- R$ 300,24 M","- R$ 164,52 M","R$ 857,46 M","R$ 392,69 M",165
36,30/06/2015,"- R$ 396,15 M","- R$ 128,22 M","R$ 479,90 M","- R$ 44,48 M",165
37,31/03/2015,"- R$ 543,99 M","R$ 65,75 M","R$ 525,57 M","R$ 47,33 M",165
38,31/12/2014,"- R$ 482,05 M","- R$ 48,20 M","R$ 953,98 M","R$ 423,74 M",165
39,30/09/2014,"- R$ 672,18 M","- R$ 176,11 M","R$ 891,72 M","R$ 43,44 M",165
40,30/06/2014,"- R$ 755,92 M","- R$ 118,95 M","R$ 957,37 M","R$ 82,50 M",165
41,31/03/2014,"- R$ 631,87 M","- R$ 190,33 M","R$ 945,73 M","R$ 123,52 M",165
42,31/12/2013,"- R$ 582,98 M","- R$ 71,28 M","R$ 711,39 M","R$ 57,13 M",165
43,30/09/2013,"- R$ 472,90 M","R$ 51,88 M","R$ 359,67 M","- R$ 61,36 M",165
44,30/06/2013,"- R$ 210,41 M","- R$ 95,75 M","- R$ 12,21 M","- R$ 318,37 M",165
45,31/03/2013,"- R$ 201,84 M","- R$ 217,42 M","R$ 158,07 M","- R$ 261,19 M",165
46,31/12/2012,"- R$ 134,65 M","- R$ 264,92 M","R$ 183,31 M","- R$ 216,26 M",165
47,30/09/2012,"- R$ 61,68 M","- R$ 149,03 M","R$ 166,66 M","- R$ 44,04 M",165
48,30/06/2012,"- R$ 42,88 M","- R$ 137,01 M","R$ 397,74 M","R$ 217,86 M",165
49,31/03/2012,"R$ 11,14 M","- R$ 53,23 M","R$ 187,19 M","R$ 145,09 M",165
50,31/12/2011,"R$ 85,72 M","- R$ 36,52 M","- R$ 36,98 M","R$ 12,22 M",165
51,30/09/2011,"R$ 69,76 M","- R$ 5,08 M","- R$ 43,17 M","R$ 21,52 M",165
52,30/06/2011,"R$ 80,87 M","R$ 8,76 M","- R$ 57,66 M","R$ 31,98 M",165
53,31/03/2011,"R$ 62,45 M","- R$ 9,08 M","- R$ 20,50 M","R$ 32,87 M",165
