,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-0,10","-0,01","0,05","3,40","21,05","0,01","-3,49","-0,01","-145,13","1.593,25","0,00","1,91","874,63","0,49","R$ 16,59 M","0,00%"
1,30/06/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
2,31/03/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
3,31/12/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
4,30/09/2023,"-0,04","0,00","0,02","0,54","3,45","0,01","-0,06","0,00","-5,58","-5,85","0,00","1,91","308,33","0,48","R$ 6,11 M","0,00%"
5,30/06/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
6,31/03/2023,"-0,04","0,00","0,02","-1,18","-0,82","0,01","-0,06","0,00","-4,82","-5,03","0,00","1,91","-66,36","0,46","R$ 6,34 M","0,00%"
7,31/12/2022,"-0,05","0,00","0,03","-0,52","-0,52","0,01","-0,07","0,00","-4,74","-4,95","0,00","1,92","-32,82","0,46","R$ 8,05 M","0,00%"
8,30/09/2022,"-0,11","-0,01","0,04","-0,58","-1,07","0,01","0,65","0,00","35,21","28,07","0,00","2,40","-57,68","0,56","R$ 11,47 M","0,00%"
9,30/06/2022,"-0,08","0,00","0,03","-0,46","-0,55","0,01","0,35","0,00","27,91","23,14","0,00","2,36","-43,14","0,55","R$ 6,46 M","0,00%"
10,31/03/2022,"-0,06","0,00","0,02","-0,21","-0,29","0,00","0,20","0,00","22,22","19,06","0,00","2,34","-32,61","0,54","R$ 4,81 M","0,00%"
11,31/12/2021,"-0,05","0,00","0,02","-0,18","-0,27","0,00","0,16","0,00","22,19","18,97","0,00","2,47","-36,87","0,53","R$ 4,14 M","0,00%"
12,30/09/2021,"-0,04","0,00","0,02","-0,17","-0,27","0,00","0,64","0,00","84,00","51,68","0,00","2,71","-34,92","0,56","R$ 7,34 M","0,00%"
13,30/06/2021,"-0,07","0,00","0,05","-0,28","-0,54","0,01","1,39","0,00","91,27","53,66","0,00","3,02","-35,34","0,55","R$ 11,49 M","0,00%"
14,31/03/2021,"-0,08","-0,01","0,06","-0,48","-5,65","0,01","2,43","0,00","149,14","68,27","0,00","3,70","-346,20","0,54","R$ 13,00 M","0,00%"
15,31/12/2020,"-0,07","-0,01","0,06","28,91","0,65","0,01","-4,16","0,00","-257,60","227,42","0,00","3,98","40,49","0,52","R$ 12,14 M","0,00%"
16,30/09/2020,"-0,04","0,00","0,04","0,55","0,24","0,00","-0,33","0,00","-34,36","-49,97","0,00","3,88","24,71","0,51","R$ 7,24 M","0,00%"
17,30/06/2020,"-0,05","0,00","0,04","0,29","0,24","0,01","-0,27","0,00","-23,34","-30,36","0,00","3,66","20,86","0,50","R$ 8,20 M","0,00%"
18,31/03/2020,"-0,05","0,00","0,04","0,62","0,55","0,01","-0,24","0,00","-18,39","-22,64","0,00","3,31","42,09","0,49","R$ 10,06 M","0,00%"
19,31/12/2019,"-0,03","0,00","0,02","1,56","0,78","0,00","-0,12","0,00","-16,61","-20,28","0,00","3,18","106,38","0,48","R$ 3,72 M","0,00%"
20,30/09/2019,"-0,03","0,00","0,02","-0,28","-0,29","0,00","-0,12","0,00","-15,78","-19,35","0,00","3,10","-37,34","0,47","R$ 3,94 M","0,00%"
21,30/06/2019,"-0,03","0,00","0,03","-0,95","-1,04","0,00","-0,15","0,00","-15,69","-19,57","0,00","2,98","-109,56","0,46","R$ 4,00 M","0,00%"
22,31/03/2019,"-0,03","0,00","0,03","-0,45","-0,46","0,00","-0,17","0,00","-18,59","-24,83","0,00","2,92","-50,82","0,45","R$ 3,98 M","0,00%"
23,31/12/2018,"-0,04","0,00","0,03","-0,40","-0,40","0,00","-0,24","0,00","-23,19","-34,55","0,00","2,89","-38,71","0,45","R$ 4,61 M","0,00%"
24,30/09/2018,"-0,02","0,00","0,03","-0,85","-0,84","0,00","-0,49","0,00","-67,87","-301,71","0,00","3,83","-116,86","0,55","R$ 4,05 M","0,00%"
25,30/06/2018,"-0,02","0,00","0,02","-2,77","-2,69","0,00","-0,22","0,00","-37,21","-67,30","0,00","4,05","-455,52","0,53","R$ 3,52 M","0,00%"
26,31/03/2018,"-0,02","0,00","0,02","3,05","2,96","0,00","-0,21","0,00","-33,89","-59,16","0,00","3,83","481,08","0,51","R$ 3,52 M","0,00%"
27,31/12/2017,"-0,02","0,00","0,03","1,10","1,09","0,00","-0,17","0,00","-24,00","-34,91","0,00","3,67","149,70","0,50","R$ 3,82 M","0,00%"
28,30/09/2017,"-0,02","0,00","0,03","-3,37","-2,66","0,00","-0,49","0,00","-65,14","-543,01","0,00","3,51","-352,71","0,49","R$ 4,35 M","0,00%"
29,30/06/2017,"-0,03","0,00","0,03","-1,24","-1,25","0,01","-2,55","0,00","-227,04","102,98","0,00","3,05","-111,46","0,48","R$ 4,66 M","0,00%"
30,31/03/2017,"-0,04","0,00","0,03","-6,86","-5,40","0,01","1,47","0,00","126,78","43,95","0,00","2,86","-465,03","0,47","R$ 4,66 M","0,00%"
