,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 99,80 M","- R$ 57,27 M","- R$ 35,91 M","- R$ 66,50 M","R$ 30,59 M","- R$ 60,07 M","- R$ 0,70"
1,31/03/2024,"R$ 78,56 M","- R$ 75,88 M","- R$ 62,97 M","- R$ 65,65 M","R$ 2,68 M","- R$ 83,03 M","- R$ 0,96"
2,31/12/2023,"R$ 109,81 M","- R$ 43,10 M","- R$ 24,19 M","- R$ 66,59 M","R$ 42,40 M","- R$ 52,11 M","- R$ 0,60"
3,30/09/2023,"R$ 108,75 M","- R$ 44,03 M","- R$ 79,99 M","- R$ 65,19 M","- R$ 14,80 M","- R$ 91,30 M","- R$ 1,06"
4,30/06/2023,"R$ 101,20 M","- R$ 64,96 M","R$ 6,71 M","- R$ 61,32 M","R$ 68,03 M","- R$ 2,75 M","- R$ 0,03"
5,31/03/2023,"R$ 97,08 M","- R$ 42,43 M","R$ 30,07 M","- R$ 60,44 M","R$ 90,51 M","R$ 18,80 M","R$ 0,22"
6,31/12/2022,"R$ 90,37 M","- R$ 46,85 M","R$ 27,67 M","- R$ 60,83 M","R$ 88,51 M","R$ 7,35 M","R$ 0,09"
7,30/09/2022,"R$ 101,71 M","- R$ 44,43 M","- R$ 10,89 M","- R$ 63,34 M","R$ 52,45 M","- R$ 26,94 M","- R$ 0,40"
8,30/06/2022,"R$ 84,59 M","- R$ 44,11 M","- R$ 4,66 M","- R$ 56,96 M","R$ 52,30 M","- R$ 32,34 M","- R$ 0,48"
9,31/03/2022,"R$ 71,17 M","- R$ 52,09 M","- R$ 49,84 M","- R$ 60,95 M","R$ 11,11 M","- R$ 75,78 M","- R$ 1,12"
10,31/12/2021,"R$ 86,41 M","- R$ 45,84 M","R$ 6,37 M","- R$ 60,15 M","R$ 66,52 M","- R$ 16,63 M","- R$ 0,25"
11,30/09/2021,"R$ 65,54 M","- R$ 66,98 M","- R$ 33,72 M","- R$ 64,37 M","R$ 30,66 M","- R$ 49,76 M","- R$ 0,73"
12,30/06/2021,"R$ 66,02 M","- R$ 62,61 M","R$ 7,01 M","- R$ 62,79 M","R$ 69,80 M","- R$ 2,80 M","- R$ 0,04"
13,31/03/2021,"R$ 67,69 M","- R$ 54,50 M","- R$ 46,60 M","- R$ 62,28 M","R$ 15,69 M","- R$ 57,63 M","- R$ 0,85"
14,31/12/2020,"R$ 68,63 M","- R$ 61,97 M","- R$ 28,12 M","- R$ 62,38 M","R$ 34,26 M","- R$ 33,50 M","- R$ 0,49"
15,30/09/2020,"R$ 70,80 M","- R$ 41,02 M","- R$ 9,39 M","- R$ 56,88 M","R$ 47,48 M","- R$ 16,15 M","- R$ 0,24"
16,30/06/2020,"R$ 63,89 M","- R$ 49,23 M","- R$ 14,86 M","- R$ 48,22 M","R$ 33,36 M","- R$ 28,71 M","- R$ 0,42"
17,31/03/2020,"R$ 63,51 M","- R$ 39,47 M","- R$ 19,37 M","- R$ 47,34 M","R$ 27,97 M","- R$ 27,86 M","- R$ 0,56"
18,31/12/2019,"R$ 60,26 M","- R$ 51,51 M","R$ 110,30 M","- R$ 47,84 M","R$ 158,14 M","R$ 101,16 M","R$ 2,04"
19,30/09/2019,"R$ 58,89 M","- R$ 45,61 M","- R$ 73,18 M","- R$ 47,90 M","- R$ 25,28 M","- R$ 107,87 M","- R$ 2,17"
20,30/06/2019,"R$ 44,15 M","- R$ 56,77 M","- R$ 78,85 M","- R$ 48,22 M","- R$ 30,64 M","- R$ 113,93 M","- R$ 2,30"
21,31/03/2019,"R$ 40,95 M","- R$ 59,77 M","- R$ 81,17 M","- R$ 47,31 M","- R$ 33,86 M","- R$ 116,89 M","- R$ 2,36"
22,31/12/2018,"R$ 101,13 M","- R$ 2,51 M","- R$ 769,00 mil","- R$ 51,24 M","R$ 50,47 M","R$ 3,25 M","R$ 0,07"
23,30/09/2018,"R$ 38,84 M","- R$ 53,81 M","- R$ 76,63 M","- R$ 44,59 M","- R$ 32,03 M","- R$ 104,09 M","- R$ 2,10"
24,30/06/2018,"R$ 29,12 M","- R$ 29,71 M","- R$ 53,40 M","- R$ 14,86 M","- R$ 38,55 M","- R$ 61,34 M","- R$ 1,24"
25,31/03/2018,"R$ 30,56 M","- R$ 32,20 M","- R$ 58,70 M","- R$ 16,00 M","- R$ 42,69 M","- R$ 62,67 M","- R$ 1,26"
26,31/12/2017,"R$ 23,91 M","- R$ 29,87 M","- R$ 100,66 M","- R$ 15,52 M","- R$ 85,15 M","- R$ 103,80 M","- R$ 2,09"
27,30/09/2017,"R$ 16,60 M","- R$ 30,99 M","- R$ 54,67 M","- R$ 15,38 M","- R$ 39,30 M","- R$ 54,83 M","- R$ 4,63"
28,30/06/2017,"R$ 16,42 M","- R$ 27,55 M","- R$ 10,05 M","- R$ 15,23 M","R$ 5,18 M","- R$ 23,01 M","- R$ 1,94"
29,31/03/2017,"R$ 16,37 M","- R$ 31,54 M","- R$ 46,18 M","- R$ 14,67 M","- R$ 31,51 M","- R$ 62,18 M","- R$ 5,25"
30,31/12/2016,"R$ 16,98 M","- R$ 13,43 M","- R$ 32,99 M","R$ 1,61 M","- R$ 34,60 M","- R$ 49,72 M","- R$ 4,20"
31,30/09/2016,"R$ 13,25 M","- R$ 29,68 M","- R$ 51,74 M","- R$ 16,12 M","- R$ 35,62 M","- R$ 68,79 M","- R$ 5,81"
32,30/06/2016,"R$ 12,26 M","- R$ 29,25 M","- R$ 54,08 M","- R$ 16,14 M","- R$ 37,95 M","- R$ 75,92 M","- R$ 0,64"
33,31/03/2016,"R$ 13,57 M","- R$ 31,26 M","- R$ 55,13 M","- R$ 16,14 M","- R$ 38,99 M","- R$ 76,45 M","- R$ 0,65"
34,31/12/2015,"R$ 12,55 M","- R$ 32,99 M","- R$ 55,47 M","- R$ 16,14 M","- R$ 39,33 M","- R$ 22,88 M","- R$ 0,19"
35,30/09/2015,"R$ 15,52 M","- R$ 25,12 M","- R$ 23,62 M","- R$ 16,14 M","- R$ 7,48 M","- R$ 61,77 M","- R$ 0,52"
36,30/06/2015,"R$ 9,17 M","- R$ 26,55 M","- R$ 40,49 M","- R$ 16,14 M","- R$ 28,02 M","- R$ 81,60 M","- R$ 0,69"
37,31/03/2015,"R$ 7,85 M","- R$ 32,40 M","- R$ 44,18 M","- R$ 16,13 M","- R$ 28,05 M","- R$ 69,38 M","- R$ 0,59"
