,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 650,37 M","- R$ 171,48 M","- R$ 460,76 M","R$ 18,13 M"
1,31/03/2024,"R$ 545,68 M","- R$ 188,09 M","- R$ 348,27 M","R$ 9,32 M"
2,31/12/2023,"R$ 279,95 M","- R$ 67,37 M","- R$ 244,22 M","- R$ 31,64 M"
3,30/09/2023,"- R$ 225,27 M","R$ 299,08 M","- R$ 37,30 M","R$ 36,51 M"
4,30/06/2023,"- R$ 308,72 M","R$ 316,69 M","- R$ 42,87 M","- R$ 34,90 M"
5,31/03/2023,"- R$ 244,23 M","R$ 353,27 M","- R$ 76,55 M","R$ 32,49 M"
6,31/12/2022,"- R$ 367,34 M","R$ 431,46 M","- R$ 67,51 M","- R$ 3,38 M"
7,30/09/2022,"- R$ 133,41 M","R$ 50,01 M","R$ 54,88 M","- R$ 28,52 M"
8,30/06/2022,"- R$ 170,53 M","- R$ 16,42 M","R$ 229,61 M","R$ 42,65 M"
9,31/03/2022,"- R$ 259,29 M","- R$ 33,97 M","R$ 260,79 M","- R$ 32,46 M"
10,31/12/2021,"- R$ 163,66 M","R$ 138,45 M","R$ 42,55 M","R$ 17,34 M"
11,30/09/2021,"- R$ 264,23 M","R$ 290,77 M","R$ 4,51 M","R$ 31,05 M"
12,30/06/2021,"- R$ 76,56 M","R$ 512,64 M","- R$ 407,13 M","R$ 28,95 M"
13,31/03/2021,"R$ 107,83 M","R$ 15,90 M","- R$ 89,86 M","R$ 33,87 M"
14,31/12/2020,"R$ 93,98 M","- R$ 249,79 M","R$ 177,19 M","R$ 21,38 M"
15,30/09/2020,"R$ 142,54 M","- R$ 499,29 M","R$ 322,97 M","- R$ 33,78 M"
16,30/06/2020,"R$ 25,91 M","- R$ 561,84 M","R$ 492,50 M","- R$ 43,43 M"
17,31/03/2020,"- R$ 22,43 M","- R$ 261,83 M","R$ 251,05 M","- R$ 33,22 M"
18,31/12/2019,"R$ 68,81 M","- R$ 209,16 M","R$ 154,41 M","R$ 14,07 M"
19,30/09/2019,"R$ 140,03 M","- R$ 106,34 M","- R$ 10,44 M","R$ 23,26 M"
20,30/06/2019,"R$ 244,32 M","- R$ 353,54 M","R$ 145,44 M","R$ 36,22 M"
21,31/03/2019,"R$ 275,76 M","- R$ 173,07 M","- R$ 80,34 M","R$ 22,36 M"
22,31/12/2018,"R$ 283,44 M","- R$ 362,17 M","R$ 73,64 M","- R$ 5,09 M"
23,30/09/2018,"R$ 195,12 M","- R$ 471,86 M","R$ 275,71 M","- R$ 1,03 M"
24,30/06/2018,"R$ 177,29 M","- R$ 374,73 M","R$ 146,25 M","- R$ 51,19 M"
25,31/03/2018,"R$ 211,51 M","- R$ 401,43 M","R$ 189,51 M","- R$ 418,00 mil"
26,31/12/2017,"R$ 188,41 M","- R$ 298,22 M","R$ 120,78 M","R$ 10,96 M"
27,30/09/2017,"R$ 248,23 M","- R$ 187,54 M","- R$ 84,80 M","- R$ 24,10 M"
28,30/06/2017,"R$ 200,08 M","- R$ 89,70 M","- R$ 142,45 M","- R$ 32,07 M"
29,31/03/2017,"R$ 105,55 M","- R$ 21,95 M","- R$ 140,66 M","- R$ 57,06 M"
30,31/12/2016,"R$ 137,06 M","R$ 5,00 M","- R$ 135,29 M","R$ 6,76 M"
31,30/09/2016,"R$ 80,23 M","R$ 92,48 M","- R$ 139,31 M","R$ 33,41 M"
32,30/06/2016,"R$ 67,48 M","R$ 31,75 M","- R$ 70,32 M","R$ 28,91 M"
33,31/03/2016,"R$ 18,64 M","R$ 53,05 M","- R$ 122,91 M","- R$ 51,22 M"
34,31/12/2015,"- R$ 85,50 M","R$ 222,29 M","- R$ 176,76 M","- R$ 39,96 M"
35,30/09/2015,"- R$ 177,99 M","R$ 222,99 M","- R$ 96,89 M","- R$ 51,89 M"
36,30/06/2015,"- R$ 151,80 M","R$ 304,60 M","- R$ 164,57 M","- R$ 11,77 M"
37,31/03/2015,"- R$ 51,47 M","R$ 215,64 M","- R$ 129,40 M","R$ 34,77 M"
38,31/12/2014,"R$ 19,33 M","R$ 95,48 M","- R$ 210,74 M","- R$ 95,92 M"
39,30/09/2014,"R$ 316,77 M","R$ 104,07 M","- R$ 524,74 M","- R$ 103,90 M"
40,30/06/2014,"R$ 365,15 M","- R$ 205,77 M","- R$ 484,80 M","- R$ 325,42 M"
41,31/03/2014,"R$ 235,33 M","- R$ 215,62 M","- R$ 363,75 M","- R$ 344,04 M"
42,31/12/2013,"R$ 221,37 M","- R$ 95,47 M","- R$ 290,31 M","- R$ 164,42 M"
43,30/09/2013,"R$ 79,05 M","- R$ 218,02 M","R$ 6,74 M","- R$ 132,24 M"
44,30/06/2013,"R$ 81,05 M","R$ 30,01 M","R$ 103,61 M","R$ 214,67 M"
45,31/03/2013,"R$ 165,90 M","R$ 19,28 M","R$ 127,70 M","R$ 312,88 M"
46,31/12/2012,"R$ 15,72 M","R$ 46,89 M","R$ 210,85 M","R$ 273,47 M"
47,30/09/2012,"- R$ 64,75 M","- R$ 347,80 M","R$ 566,45 M","R$ 153,91 M"
48,30/06/2012,"- R$ 668,32 M","- R$ 245,49 M","R$ 971,74 M","R$ 57,94 M"
49,31/03/2012,"- R$ 715,93 M","- R$ 178,85 M","R$ 900,93 M","R$ 6,16 M"
50,31/12/2011,"- R$ 561,19 M","- R$ 337,64 M","R$ 858,01 M","- R$ 40,83 M"
51,30/09/2011,"- R$ 638,62 M","- R$ 757,00 mil","R$ 752,98 M","R$ 113,60 M"
52,30/06/2011,"- R$ 581,03 M","R$ 5,31 M","R$ 710,82 M","R$ 135,09 M"
53,31/03/2011,"- R$ 466,57 M","R$ 9,98 M","R$ 654,13 M","R$ 197,54 M"
