,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 0,00","R$ 0,00","R$ 0,00",2.420.804.398,0.0,0.0,2.420.804.398,2.799.762,0,0,2.799.762,2.418.004.636,0.0,2.418.004.636,70
1,31/03/2024,"R$ 0,00","R$ 0,00","R$ 0,00",2.420.804.398,0.0,0.0,2.420.804.398,555.362,0,0,555.362,2.420.249.036,0.0,2.420.249.036,70
2,31/12/2023,"R$ 55,26 B","R$ 26,02 B","R$ 10,75",2.420.804.398,0.0,0.0,2.420.804.398,205.362,0,0,205.362,2.420.599.036,0.0,2.420.599.036,70
3,30/09/2023,"R$ 55,97 B","R$ 25,57 B","R$ 10,56",2.420.804.398,0.0,0.0,2.420.804.398,205.362,0,0,205.362,2.420.599.036,0.0,2.420.599.036,70
4,30/06/2023,"R$ 55,71 B","R$ 25,33 B","R$ 10,46",2.420.804.398,0.0,0.0,2.420.804.398,12.247,0,0,12.247,2.420.792.151,0.0,2.420.792.151,70
5,31/03/2023,"R$ 56,59 B","R$ 25,22 B","R$ 10,42",2.420.804.398,0.0,0.0,2.420.804.398,12.247,0,0,12.247,2.420.792.151,0.0,2.420.792.151,70
6,31/12/2022,"R$ 56,41 B","R$ 25,40 B","R$ 10,49",2.420.804.398,12.247,12.247,2.420.816.645,0,0,0,0,2.420.804.398,12.247,2.420.816.645,70
7,30/09/2022,"R$ 54,69 B","R$ 25,30 B","R$ 10,45",2.420.679.599,0.0,0.0,2.420.679.599,124.799,0,0,124.799,2.420.554.800,0.0,2.420.554.800,70
8,30/06/2022,"R$ 54,31 B","R$ 25,33 B","R$ 10,46",2.420.804.398,0.0,0.0,2.420.804.398,2.255.774,0,0,2.255.774,2.418.548.624,0.0,2.418.548.624,70
9,31/03/2022,"R$ 49,03 B","R$ 25,34 B","R$ 10,47",2.420.804.398,0.0,0.0,2.420.804.398,398.257,0,0,398.257,2.420.406.141,0.0,2.420.406.141,70
10,31/12/2021,"R$ 49,82 B","R$ 25,11 B","R$ 10,37",2.420.804.398,0.0,0.0,2.420.804.398,398.257,0,0,398.257,2.420.406.141,0.0,2.420.406.141,70
11,30/09/2021,"R$ 43,98 B","R$ 24,64 B","R$ 10,18",2.420.804.398,0.0,0.0,2.420.804.398,446.305,0,0,446.305,2.420.358.093,0.0,2.420.358.093,70
12,30/06/2021,"R$ 43,86 B","R$ 23,77 B","R$ 9,82",2.420.804.398,0.0,0.0,2.420.804.398,1.247.820,0,0,1.247.820,2.419.556.578,0.0,2.419.556.578,70
13,31/03/2021,"R$ 41,12 B","R$ 23,46 B","R$ 9,69",2.420.804.398,0.0,0.0,2.420.804.398,214.920,0,0,214.920,2.420.589.478,0.0,2.420.589.478,70
14,31/12/2020,"R$ 41,65 B","R$ 23,18 B","R$ 9,58",2.420.804.398,0.0,0.0,2.420.804.398,397.431,0,0,397.431,2.420.406.967,0.0,2.420.406.967,70
15,30/09/2020,"R$ 39,79 B","R$ 23,25 B","R$ 9,60",2.420.804.398,0.0,0.0,2.420.804.398,0,0,0,0,2.420.804.398,0.0,2.420.804.398,70
16,30/06/2020,"R$ 39,33 B","R$ 22,50 B","R$ 0,53",42.296.789.606,0.0,0.0,42.296.789.606,0,0,0,0,42.296.789.606,0.0,42.296.789.606,70
17,31/03/2020,"R$ 38,99 B","R$ 22,23 B","R$ 0,53",42.296.789.606,0.0,0.0,42.296.789.606,0,0,0,0,42.296.789.606,0.0,42.296.789.606,70
18,31/12/2019,"R$ 39,86 B","R$ 22,06 B","R$ 0,52",42.296.789.606,0.0,0.0,42.296.789.606,0,0,0,0,42.296.789.606,0.0,42.296.789.606,70
19,30/09/2019,"R$ 38,66 B","R$ 21,60 B","R$ 0,51",42.296.789.606,0.0,0.0,42.296.789.606,0,0,0,0,42.296.789.606,0.0,42.296.789.606,70
20,30/06/2019,"R$ 37,91 B","R$ 21,63 B","R$ 0,51",42.296.789.606,0.0,0.0,42.296.789.606,0,0,0,0,42.296.789.606,0.0,42.296.789.606,70
21,31/03/2019,"R$ 36,28 B","R$ 19,60 B","R$ 0,46",42.296.789.606,0.0,0.0,42.296.789.606,0,0,0,0,42.296.789.606,0.0,42.296.789.606,70
22,31/12/2018,"R$ 31,37 B","R$ 19,38 B","R$ 0,46",42.296.789.606,0.0,0.0,42.296.789.606,0,0,0,0,42.296.789.606,0.0,42.296.789.606,70
