,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 67,78 M","R$ 18,07 M","R$ 12,11 M","- R$ 1,91 M","R$ 14,02 M","R$ 11,48 M","R$ 3,89",414
1,31/03/2024,"R$ 73,75 M","R$ 21,54 M","R$ 14,70 M","- R$ 1,63 M","R$ 16,33 M","R$ 12,74 M","R$ 4,32",414
2,31/12/2023,"R$ 75,52 M","R$ 19,43 M","R$ 11,68 M","- R$ 1,25 M","R$ 12,93 M","R$ 9,31 M","R$ 3,16",414
3,30/09/2023,"R$ 65,91 M","R$ 17,87 M","R$ 12,67 M","- R$ 1,76 M","R$ 14,43 M","R$ 10,87 M","R$ 3,69",414
4,30/06/2023,"R$ 66,30 M","R$ 13,45 M","R$ 7,45 M","- R$ 1,68 M","R$ 9,13 M","R$ 7,42 M","R$ 2,52",414
5,31/03/2023,"R$ 70,12 M","R$ 13,46 M","R$ 8,16 M","- R$ 1,58 M","R$ 9,75 M","R$ 8,51 M","R$ 2,89",414
6,31/12/2022,"R$ 58,00 M","R$ 11,97 M","R$ 9,54 M","- R$ 1,65 M","R$ 11,19 M","R$ 16,00 mil","R$ 0,01",414
7,30/09/2022,"R$ 81,96 M","R$ 18,33 M","R$ 14,43 M","- R$ 1,16 M","R$ 15,58 M","R$ 13,18 M","R$ 4,47",414
8,30/06/2022,"R$ 88,18 M","R$ 20,93 M","R$ 15,06 M","- R$ 1,40 M","R$ 16,46 M","R$ 13,41 M","R$ 4,55",414
9,31/03/2022,"R$ 79,72 M","R$ 18,06 M","R$ 13,05 M","- R$ 1,39 M","R$ 14,44 M","R$ 11,64 M","R$ 3,95",414
10,31/12/2021,"R$ 77,24 M","R$ 18,43 M","R$ 13,82 M","- R$ 1,20 M","R$ 15,02 M","R$ 13,94 M","R$ 4,73",414
11,30/09/2021,"R$ 92,88 M","R$ 25,87 M","R$ 27,79 M","- R$ 1,38 M","R$ 29,18 M","R$ 29,70 M","R$ 10,08",414
12,30/06/2021,"R$ 82,72 M","R$ 23,07 M","R$ 19,06 M","- R$ 1,38 M","R$ 20,44 M","R$ 13,39 M","R$ 4,54",414
13,31/03/2021,"R$ 58,80 M","R$ 15,43 M","R$ 12,10 M","- R$ 1,38 M","R$ 13,47 M","R$ 9,04 M","R$ 3,07",414
14,31/12/2020,"R$ 56,28 M","R$ 15,08 M","R$ 8,65 M","- R$ 516,00 mil","R$ 9,17 M","R$ 6,64 M","R$ 2,25",414
15,30/09/2020,"R$ 52,55 M","R$ 15,18 M","R$ 8,17 M","- R$ 1,50 M","R$ 9,66 M","R$ 5,62 M","R$ 1,91",414
16,30/06/2020,"R$ 31,28 M","R$ 6,69 M","R$ 1,20 M","- R$ 1,47 M","R$ 2,66 M","R$ 517,00 mil","R$ 0,18",414
17,31/03/2020,"R$ 42,31 M","R$ 11,62 M","R$ 6,65 M","- R$ 1,67 M","R$ 8,32 M","R$ 26,00 mil","R$ 0,01",414
18,31/12/2019,"R$ 43,61 M","R$ 10,57 M","R$ 3,30 M","- R$ 1,33 M","R$ 4,63 M","R$ 2,37 M","R$ 0,80",414
