,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"12,13","2,65","2,47","13,28","17,61","1,67","10,78","4,06","10,66","8,30","36,96","2,45","17,41","1,66","R$ 6,04 B","1,46%"
1,30/09/2024,"11,83","2,58","2,41","12,96","17,18","1,63","10,51","3,96","10,39","8,09","36,05","2,39","16,98","1,61","R$ 5,89 B","1,49%"
2,30/06/2024,"12,46","2,68","2,49","13,51","19,19","1,69","10,75","4,08","10,68","8,37","36,80","2,47","19,06","1,68","R$ 5,82 B","1,51%"
3,31/03/2024,"14,87","2,77","2,43","15,90","26,97","1,70","12,28","4,11","12,18","9,24","63,86","2,41","26,75","1,68","R$ 5,45 B","1,62%"
4,31/12/2023,"17,12","3,27","2,89","31,37","126,69","1,95","14,03","4,64","14,14","10,89","118,98","2,91","127,69","1,97","R$ 6,32 B","1,36%"
5,30/09/2023,"16,82","3,43","3,14","43,10","2.682,53","2,13","14,57","5,57","15,03","11,65","598,21","3,24","2.767,88","2,20","R$ 6,44 B","1,34%"
6,30/06/2023,"18,89","3,92","3,56","50,47","-2.586,38","2,38","16,92","6,27","17,26","13,27","-172,94","3,63","-2.638,36","2,43","R$ 7,07 B","1,22%"
7,31/03/2023,"14,45","3,02","2,69","42,83","-506,20","1,77","13,44","4,94","13,71","10,43","-32,64","2,74","-516,16","1,81","R$ 5,11 B","1,68%"
8,31/12/2022,"14,56","3,17","2,85","82,97","-114,95","1,79","13,96","5,08","14,13","10,85","-21,94","2,88","-116,38","1,81","R$ 5,25 B","0,24%"
9,30/09/2022,"16,39","3,42","3,09","-264,43","-41,52","2,02","16,48","5,58","16,88","12,81","-43,16","3,17","-42,54","2,07","R$ 5,41 B","1,44%"
10,30/06/2022,"16,35","3,75","3,02","78,45","-237,73","2,23","17,19","6,13","17,40","13,66","-53,90","3,06","-240,54","2,26","R$ 5,70 B","1,36%"
11,31/03/2022,"16,05","3,80","3,45","33,06","71,99","2,16","16,56","6,19","16,67","13,35","-25,95","3,47","72,51","2,17","R$ 5,47 B","1,42%"
12,31/12/2021,"19,67","4,22","4,00","26,71","42,22","2,29","19,92","6,46","19,81","15,92","-22,39","3,98","41,97","2,28","R$ 5,87 B","1,32%"
13,30/09/2021,"26,03","5,13","5,00","24,42","30,84","2,91","23,47","8,25","23,14","18,90","-36,03","4,93","30,41","2,87","R$ 6,89 B","0,54%"
14,30/06/2021,"32,89","5,61","5,85","29,82","36,62","3,24","25,63","8,23","25,36","20,58","-113,36","5,78","36,23","3,21","R$ 7,05 B","0,53%"
15,31/03/2021,"47,54","5,32","5,91","26,10","31,00","3,15","33,60","6,93","33,22","25,04","68,09","5,84","30,65","3,11","R$ 6,25 B","0,60%"
16,31/12/2020,"38,09","4,77","5,33","22,16","26,44","2,61","27,24","6,70","26,74","20,82","-41,07","5,23","25,95","2,56","R$ 5,59 B","0,45%"
17,30/09/2020,"39,18","5,13","5,76","34,43","46,21","3,00","31,51","7,01","30,47","23,11","256,16","5,57","44,68","2,90","R$ 5,73 B","0,70%"
18,30/06/2020,"36,05","4,99","5,44","28,67","38,56","2,91","28,98","7,33","27,56","21,43","-140,05","5,17","36,67","2,77","R$ 5,39 B","0,74%"
19,31/03/2020,"13,26","3,31","3,84","35,61","55,18","2,01","11,45","4,54","10,90","9,63","41,58","3,66","52,57","1,91","R$ 3,67 B","1,09%"
20,31/12/2019,"12,82","3,03","4,41","50,48","77,34","1,76","11,29","3,84","10,72","9,75","46,87","4,19","73,47","1,67","R$ 3,31 B","1,21%"
21,30/09/2019,NA,"8,22",NA,"-7,23","-7,09","3,93",NA,"12,57",NA,"-9,03","-18,74",NA,"-7,36","4,08","R$ 4,97 B","0,00%"
22,30/06/2019,NA,"27,82",NA,"-21,12",NA,"12,40",NA,"39,37",NA,"-25,47","-51,76",NA,NA,"12,76","R$ 15,72 B","0,00%"
