,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 31,65 M","R$ 5,11 M","R$ 6,19 M","- R$ 20,36 M"
1,31/03/2024,"- R$ 24,15 M","- R$ 48,00 mil","- R$ 8,04 M","- R$ 32,24 M"
2,31/12/2023,"- R$ 26,67 M","- R$ 1,76 M","R$ 3,56 M","- R$ 24,88 M"
3,30/09/2023,"- R$ 9,64 M","- R$ 3,51 M","R$ 25,64 M","R$ 12,49 M"
4,30/06/2023,"- R$ 24,82 M","- R$ 4,90 M","R$ 39,16 M","R$ 9,44 M"
5,31/03/2023,"- R$ 41,16 M","- R$ 5,16 M","R$ 44,23 M","- R$ 2,10 M"
6,31/12/2022,"- R$ 74,73 M","- R$ 5,68 M","R$ 55,92 M","- R$ 24,49 M"
7,30/09/2022,"- R$ 98,73 M","- R$ 3,80 M","R$ 49,11 M","- R$ 53,42 M"
8,30/06/2022,"- R$ 100,57 M","- R$ 2,03 M","R$ 55,97 M","- R$ 46,63 M"
9,31/03/2022,"- R$ 91,43 M","- R$ 1,10 M","R$ 105,91 M","R$ 13,38 M"
10,31/12/2021,"- R$ 59,79 M","R$ 209,00 mil","R$ 94,06 M","R$ 34,47 M"
11,30/09/2021,"R$ 5,26 M","- R$ 415,00 mil","R$ 39,06 M","R$ 43,91 M"
12,30/06/2021,"R$ 1,12 M","- R$ 631,00 mil","R$ 55,27 M","R$ 55,76 M"
13,31/03/2021,"R$ 8,78 M","- R$ 1,01 M","R$ 15,29 M","R$ 23,06 M"
14,31/12/2020,"R$ 9,10 M","- R$ 708,00 mil","R$ 15,14 M","R$ 23,53 M"
15,30/09/2020,"- R$ 9,57 M","R$ 621,00 mil","R$ 26,30 M","R$ 17,35 M"
16,30/06/2020,"- R$ 3,39 M","R$ 780,00 mil","R$ 8,43 M","R$ 5,82 M"
17,31/03/2020,"R$ 2,38 M","R$ 1,32 M","- R$ 3,72 M","- R$ 26,00 mil"
18,31/12/2019,"- R$ 14,44 M","R$ 1,07 M","R$ 11,03 M","- R$ 2,35 M"
19,30/09/2019,"- R$ 82,73 M","R$ 399,00 mil","R$ 77,63 M","- R$ 4,70 M"
20,30/06/2019,"- R$ 76,47 M","R$ 456,00 mil","R$ 72,94 M","- R$ 3,08 M"
21,31/03/2019,"- R$ 67,33 M","R$ 499,00 mil","R$ 59,26 M","- R$ 7,57 M"
22,31/12/2018,"- R$ 44,37 M","R$ 516,00 mil","R$ 36,12 M","- R$ 7,74 M"
23,30/09/2018,"- R$ 182,78 M","- R$ 6,00 mil","R$ 174,65 M","- R$ 8,14 M"
24,30/06/2018,"- R$ 145,82 M","R$ 3,00 mil","R$ 125,72 M","- R$ 20,09 M"
25,31/03/2018,"- R$ 145,17 M","R$ 14,00 mil","R$ 132,89 M","- R$ 12,27 M"
26,31/12/2017,"- R$ 147,60 M","R$ 14,00 mil","R$ 130,05 M","- R$ 17,54 M"
27,30/09/2017,"R$ 61,03 M","R$ 2,41 M","- R$ 70,50 M","- R$ 7,06 M"
28,30/06/2017,"R$ 40,98 M","R$ 6,18 M","- R$ 43,26 M","R$ 3,89 M"
29,31/03/2017,"R$ 59,39 M","R$ 13,91 M","- R$ 71,64 M","R$ 1,66 M"
30,31/12/2016,"R$ 86,22 M","R$ 13,94 M","- R$ 89,81 M","R$ 10,34 M"
31,30/09/2016,"R$ 103,77 M","R$ 11,59 M","- R$ 140,49 M","- R$ 25,13 M"
32,30/06/2016,"R$ 112,92 M","R$ 7,78 M","- R$ 141,58 M","- R$ 20,88 M"
33,31/03/2016,"R$ 85,65 M","R$ 35,72 M","- R$ 122,36 M","- R$ 987,00 mil"
34,31/12/2015,"R$ 62,72 M","R$ 35,97 M","- R$ 105,54 M","- R$ 6,86 M"
35,30/09/2015,"R$ 1,00 M","R$ 87,99 M","- R$ 86,77 M","R$ 2,22 M"
36,30/06/2015,"- R$ 30,96 M","R$ 111,91 M","- R$ 102,26 M","- R$ 21,32 M"
37,31/03/2015,"R$ 64,47 M","R$ 103,61 M","- R$ 218,54 M","- R$ 50,47 M"
38,31/12/2014,"R$ 36,34 M","R$ 127,23 M","- R$ 211,37 M","- R$ 47,81 M"
39,30/09/2014,"R$ 189,63 M","R$ 90,23 M","- R$ 248,72 M","R$ 31,14 M"
40,30/06/2014,"R$ 194,33 M","R$ 69,98 M","- R$ 245,26 M","R$ 19,06 M"
41,31/03/2014,"R$ 118,70 M","R$ 52,37 M","- R$ 125,64 M","R$ 45,43 M"
