,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 53,87 B","R$ 23,59 B","R$ 8,32 B","- R$ 13,70 B","R$ 22,02 B","R$ 5,19 B","R$ 3,14",77
1,31/03/2024,"R$ 52,92 B","R$ 23,20 B","R$ 8,15 B","- R$ 13,50 B","R$ 21,65 B","R$ 5,09 B","R$ 3,08",77
2,31/12/2023,"R$ 52,10 B","R$ 22,68 B","R$ 7,92 B","- R$ 13,39 B","R$ 21,31 B","R$ 5,03 B","R$ 3,04",77
3,30/09/2023,"R$ 51,22 B","R$ 22,26 B","R$ 7,63 B","- R$ 13,15 B","R$ 20,78 B","R$ 4,56 B","R$ 2,74",77
4,30/06/2023,"R$ 50,31 B","R$ 21,75 B","R$ 7,24 B","- R$ 12,96 B","R$ 20,19 B","R$ 4,52 B","R$ 2,72",77
5,31/03/2023,"R$ 49,41 B","R$ 21,23 B","R$ 6,84 B","- R$ 12,85 B","R$ 19,69 B","R$ 4,16 B","R$ 2,50",77
6,31/12/2022,"R$ 48,04 B","R$ 20,61 B","R$ 6,60 B","- R$ 12,66 B","R$ 19,26 B","R$ 4,09 B","R$ 2,44",77
7,30/09/2022,"R$ 46,88 B","R$ 20,02 B","R$ 6,50 B","- R$ 12,46 B","R$ 18,96 B","R$ 5,59 B","R$ 3,34",77
8,30/06/2022,"R$ 45,72 B","R$ 19,71 B","R$ 6,67 B","- R$ 12,29 B","R$ 18,96 B","R$ 5,47 B","R$ 3,26",77
9,31/03/2022,"R$ 44,54 B","R$ 19,19 B","R$ 6,97 B","- R$ 12,21 B","R$ 19,18 B","R$ 6,05 B","R$ 3,61",77
10,31/12/2021,"R$ 44,03 B","R$ 19,25 B","R$ 7,09 B","- R$ 12,04 B","R$ 19,12 B","R$ 6,24 B","R$ 3,69",77
11,30/09/2021,"R$ 43,72 B","R$ 19,69 B","R$ 7,18 B","- R$ 11,89 B","R$ 19,07 B","R$ 4,90 B","R$ 2,90",77
12,30/06/2021,"R$ 43,48 B","R$ 19,78 B","R$ 6,82 B","- R$ 11,62 B","R$ 18,45 B","R$ 4,79 B","R$ 2,83",77
13,31/03/2021,"R$ 43,15 B","R$ 20,03 B","R$ 6,37 B","- R$ 11,39 B","R$ 17,76 B","R$ 4,56 B","R$ 2,70",77
14,31/12/2020,"R$ 43,13 B","R$ 20,43 B","R$ 6,58 B","- R$ 11,23 B","R$ 17,81 B","R$ 4,77 B","R$ 2,82",77
15,30/09/2020,"R$ 43,31 B","R$ 20,75 B","R$ 6,61 B","- R$ 11,29 B","R$ 17,90 B","R$ 4,75 B","R$ 2,81",77
16,30/06/2020,"R$ 43,57 B","R$ 21,38 B","R$ 6,90 B","- R$ 11,22 B","R$ 18,12 B","R$ 4,51 B","R$ 2,66",77
17,31/03/2020,"R$ 44,12 B","R$ 21,93 B","R$ 7,21 B","- R$ 11,08 B","R$ 18,28 B","R$ 4,81 B","R$ 2,85",77
18,31/12/2019,"R$ 44,27 B","R$ 22,11 B","R$ 7,21 B","- R$ 10,92 B","R$ 18,13 B","R$ 5,00 B","R$ 2,96",77
19,30/09/2019,"R$ 43,98 B","R$ 22,03 B","R$ 6,96 B","- R$ 10,25 B","R$ 17,21 B","R$ 5,21 B","R$ 3,08",77
20,30/06/2019,"R$ 43,69 B","R$ 22,13 B","R$ 7,86 B","- R$ 9,58 B","R$ 17,45 B","R$ 7,43 B","R$ 4,39",77
