,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 1,67 B","R$ 1,04 B","R$ 9,15",114.001.000,0,0,114.001.000,0,0,0,0,114.001.000,0,114.001.000
1,31/03/2024,"R$ 1,66 B","R$ 1,04 B","R$ 9,10",114.001.000,0,0,114.001.000,0,0,0,0,114.001.000,0,114.001.000
2,31/12/2023,"R$ 1,65 B","R$ 1,03 B","R$ 9,10",113.427.000,0,0,113.427.000,0,0,0,0,113.427.000,0,113.427.000
3,30/09/2023,"R$ 1,68 B","R$ 1,03 B","R$ 9,07",113.427.000,0,0,113.427.000,0,0,0,0,113.427.000,0,113.427.000
4,30/06/2023,"R$ 1,67 B","R$ 1,03 B","R$ 9,07",113.247.000,0,0,113.247.000,0,0,0,0,113.247.000,0,113.247.000
5,31/03/2023,"R$ 1,64 B","R$ 1,02 B","R$ 9,02",113.247.000,0,0,113.247.000,0,0,0,0,113.247.000,0,113.247.000
6,31/12/2022,"R$ 1,59 B","R$ 935,23 M","R$ 1,10",848.592.000,0,0,848.592.000,0,0,0,0,848.592.000,0,848.592.000
7,30/09/2022,"R$ 1,54 B","- R$ 697,15 M","- R$ 10,13",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
8,30/06/2022,"R$ 1,53 B","- R$ 630,34 M","- R$ 9,16",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
9,31/03/2022,"R$ 1,53 B","- R$ 586,29 M","- R$ 8,52",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
10,31/12/2021,"R$ 1,52 B","- R$ 527,72 M","- R$ 7,66",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
11,30/09/2021,"R$ 2,12 B","R$ 133,57 M","R$ 1,94",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
12,30/06/2021,"R$ 2,14 B","R$ 182,94 M","R$ 2,66",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
13,31/03/2021,"R$ 2,12 B","R$ 238,49 M","R$ 3,46",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
14,31/12/2020,"R$ 2,16 B","R$ 276,83 M","R$ 4,02",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
15,30/09/2020,"R$ 2,49 B","R$ 620,88 M","R$ 9,02",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
16,30/06/2020,"R$ 2,56 B","R$ 733,30 M","R$ 10,65",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
17,31/03/2020,"R$ 2,70 B","R$ 880,59 M","R$ 12,79",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
18,31/12/2019,"R$ 4,28 B","R$ 2,28 B","R$ 33,15",68.851.000,0,0,68.851.000,0,0,0,0,68.851.000,0,68.851.000
19,30/09/2019,"R$ 4,36 B","R$ 2,20 B","R$ 42,69",51.601.000,0,0,51.601.000,0,0,0,0,51.601.000,0,51.601.000
20,30/06/2019,"R$ 4,41 B","R$ 2,25 B","R$ 43,68",51.601.000,0,0,51.601.000,0,0,0,0,51.601.000,0,51.601.000
21,31/03/2019,"R$ 4,40 B","R$ 2,21 B","R$ 42,89",51.601.000,0,0,51.601.000,0,0,0,0,51.601.000,0,51.601.000
22,31/12/2018,"R$ 3,71 B","R$ 2,23 B","R$ 43,14",51.601.000,0,0,51.601.000,0,0,0,0,51.601.000,0,51.601.000
