,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 72,04 M","- R$ 40,43 M","- R$ 32,86 M","- R$ 1,26 M"
1,31/03/2024,"R$ 48,55 M","- R$ 28,39 M","- R$ 23,60 M","- R$ 3,44 M"
2,31/12/2023,"R$ 59,67 M","- R$ 32,92 M","- R$ 22,23 M","R$ 4,52 M"
3,30/09/2023,"R$ 67,08 M","- R$ 47,24 M","- R$ 18,09 M","R$ 1,74 M"
4,30/06/2023,"R$ 48,40 M","- R$ 46,11 M","- R$ 8,88 M","- R$ 6,58 M"
5,31/03/2023,"R$ 1,14 M","- R$ 41,67 M","R$ 23,23 M","- R$ 17,30 M"
6,31/12/2022,"R$ 66,07 M","- R$ 37,10 M","- R$ 5,81 M","R$ 23,17 M"
7,30/09/2022,"R$ 24,10 M","- R$ 27,26 M","R$ 5,07 M","R$ 1,90 M"
8,30/06/2022,"R$ 65,61 M","- R$ 31,20 M","- R$ 35,23 M","- R$ 816,00 mil"
9,31/03/2022,"R$ 43,12 M","- R$ 37,19 M","- R$ 15,51 M","- R$ 9,57 M"
10,31/12/2021,"R$ 21,18 M","- R$ 26,94 M","- R$ 7,30 M","- R$ 13,07 M"
11,30/09/2021,"R$ 29,12 M","- R$ 23,79 M","- R$ 7,09 M","- R$ 1,75 M"
12,30/06/2021,"R$ 28,03 M","- R$ 17,28 M","- R$ 6,98 M","R$ 3,77 M"
13,31/03/2021,"R$ 33,39 M","- R$ 19,65 M","- R$ 24,75 M","- R$ 11,01 M"
14,31/12/2020,"R$ 46,20 M","- R$ 17,96 M","- R$ 19,21 M","R$ 9,03 M"
15,30/09/2020,"- R$ 31,76 M","- R$ 17,16 M","R$ 26,76 M","- R$ 22,16 M"
16,30/06/2020,"- R$ 162,19 M","- R$ 17,22 M","R$ 115,61 M","- R$ 63,80 M"
17,31/03/2020,"- R$ 177,10 M","- R$ 28,26 M","- R$ 128,70 M","- R$ 334,06 M"
18,31/12/2019,"R$ 130,46 M","- R$ 7,26 M","R$ 364,00 mil","R$ 123,56 M"
19,30/09/2019,"- R$ 67,78 M","- R$ 28,62 M","R$ 16,46 M","- R$ 79,94 M"
20,30/06/2019,"R$ 53,12 M","- R$ 34,63 M","- R$ 170,41 M","- R$ 151,92 M"
21,31/03/2019,"- R$ 45,33 M","- R$ 42,21 M","R$ 415,31 M","R$ 327,76 M"
22,31/12/2018,"R$ 151,83 M","- R$ 48,55 M","- R$ 94,56 M","R$ 8,73 M"
23,30/09/2018,"R$ 4,23 M","- R$ 37,94 M","- R$ 37,83 M","- R$ 71,55 M"
24,30/06/2018,"R$ 59,12 M","- R$ 36,43 M","R$ 100,19 M","R$ 122,88 M"
25,31/03/2018,"- R$ 123,20 M","- R$ 26,18 M","- R$ 72,69 M","- R$ 222,07 M"
26,31/12/2017,"R$ 52,97 M","- R$ 39,08 M","R$ 153,94 M","R$ 167,83 M"
27,30/09/2017,"R$ 57,61 M","- R$ 30,15 M","R$ 17,08 M","R$ 44,54 M"
28,30/06/2017,"R$ 49,78 M","- R$ 21,05 M","- R$ 78,42 M","- R$ 49,69 M"
29,31/03/2017,"- R$ 12,40 M","- R$ 23,93 M","- R$ 93,02 M","- R$ 129,35 M"
30,31/12/2016,"R$ 152,66 M","- R$ 19,41 M","R$ 51,53 M","R$ 184,78 M"
31,30/09/2016,"R$ 85,66 M","- R$ 16,51 M","- R$ 25,44 M","R$ 43,72 M"
32,30/06/2016,"R$ 43,41 M","- R$ 18,60 M","- R$ 101,86 M","- R$ 77,05 M"
33,31/03/2016,"- R$ 28,59 M","R$ 20,97 M","- R$ 25,04 M","- R$ 32,66 M"
34,31/12/2015,"R$ 165,42 M","R$ 3,61 M","- R$ 77,73 M","R$ 91,30 M"
35,30/09/2015,"R$ 20,14 M","R$ 2,43 M","- R$ 18,43 M","R$ 4,14 M"
36,30/06/2015,"R$ 51,60 M","- R$ 14,07 M","- R$ 122,40 M","- R$ 84,87 M"
37,31/03/2015,"- R$ 62,31 M","R$ 22,83 M","- R$ 159,27 M","- R$ 198,75 M"
38,31/12/2014,"R$ 90,07 M","R$ 25,07 M","R$ 95,95 M","R$ 211,09 M"
39,30/09/2014,"R$ 33,98 M","- R$ 88,05 M","- R$ 43,40 M","- R$ 97,48 M"
40,30/06/2014,"R$ 50,22 M","- R$ 20,68 M","R$ 131,48 M","R$ 161,02 M"
41,31/03/2014,"- R$ 11,91 M","R$ 13,36 M","R$ 8,85 M","R$ 10,29 M"
42,31/12/2013,"R$ 91,51 M","- R$ 120,05 M","- R$ 31,97 M","- R$ 60,52 M"
43,30/09/2013,"R$ 13,95 M","- R$ 15,55 M","- R$ 23,30 M","- R$ 24,89 M"
44,30/06/2013,"R$ 48,98 M","- R$ 16,75 M","R$ 42,43 M","R$ 74,66 M"
45,31/03/2013,"- R$ 15,87 M","- R$ 20,65 M","- R$ 20,55 M","- R$ 57,07 M"
46,31/12/2012,"R$ 95,78 M","- R$ 52,87 M","- R$ 6,56 M","R$ 36,35 M"
47,30/09/2012,"R$ 35,11 M","- R$ 91,39 M","- R$ 6,81 M","- R$ 63,09 M"
48,30/06/2012,"R$ 22,72 M","- R$ 65,72 M","R$ 179,54 M","R$ 136,54 M"
49,31/03/2012,"- R$ 15,56 M","- R$ 50,36 M","R$ 137,52 M","R$ 71,61 M"
