,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"8,21","2,18","1,53","7,03","9,41","1,47","7,86","3,09","7,67","6,50","9,78","1,49","9,19","1,44","R$ 4,48 B","18,71%"
1,30/09/2024,"8,62","2,29","1,60","7,38","9,89","1,55","8,25","3,24","8,07","6,84","10,27","1,57","9,66","1,51","R$ 4,70 B","17,82%"
2,30/06/2024,"8,65","2,08","1,50","7,26","9,25","1,51","7,86","2,83","7,77","6,56","5,75","1,49","9,14","1,49","R$ 4,33 B","19,65%"
3,31/03/2024,"8,98","2,24","1,58","7,76","10,12","1,54","8,21","3,17","8,40","7,10","8,74","1,61","10,35","1,58","R$ 4,49 B","18,97%"
4,31/12/2023,"10,02","2,49","1,76","9,47","12,79","1,79","9,14","3,42","9,28","7,85","7,41","1,79","12,99","1,81","R$ 4,96 B","12,08%"
5,30/09/2023,"7,80","2,22","1,59","8,93","12,47","1,57","8,10","2,91","8,11","6,90","6,28","1,60","12,50","1,58","R$ 4,40 B","6,45%"
6,30/06/2023,"9,12","2,58","1,81","11,31","17,62","1,79","9,69","3,57","9,89","8,37","9,23","1,85","17,99","1,82","R$ 4,88 B","3,05%"
7,31/03/2023,"6,42","1,79","1,22","10,12","18,97","1,18","6,79","2,80","7,00","5,91","14,24","1,26","19,56","1,22","R$ 3,21 B","3,49%"
8,31/12/2022,"5,90","1,62","1,09","9,22","19,19","1,10","6,25","2,71","6,75","5,69","12,96","1,18","20,71","1,19","R$ 2,77 B","3,28%"
9,30/09/2022,"10,46","2,19","1,46","10,94","20,94","1,48","9,04","3,51","9,43","7,83","14,72","1,52","21,83","1,55","R$ 3,52 B","2,44%"
10,30/06/2022,"7,40","1,79","1,18","10,52","22,26","1,24","6,79","2,88","7,28","6,09","10,12","1,27","23,87","1,33","R$ 2,70 B","3,18%"
11,31/03/2022,"6,96","1,75","1,21","9,38","17,54","1,19","6,67","2,98","7,07","5,86","14,59","1,28","18,60","1,27","R$ 2,46 B","3,50%"
12,31/12/2021,"6,76","1,56","1,14","21,56","-69,31","1,06","6,51","2,64","7,27","5,94","12,82","1,27","-77,37","1,19","R$ 2,12 B","4,06%"
13,30/09/2021,"7,65","1,72","1,29","-164,30","-17,47","1,05","7,79","2,91","8,85","7,07","-39,94","1,46","-19,84","1,20","R$ 2,20 B","3,91%"
14,30/06/2021,"10,69","1,77","1,41","-23,83","-10,65","1,14","10,37","2,79","11,76","8,83","20,21","1,59","-12,08","1,30","R$ 2,18 B","0,00%"
15,31/03/2021,"55,19","1,80","1,64","-29,27","-11,47","1,21","39,29","2,67","43,63","18,67","9,86","1,82","-12,74","1,34","R$ 2,06 B","0,00%"
16,31/12/2020,"55,93","1,57","1,50","107,32","-27,23","1,05","48,68","2,19","52,90","17,11","7,02","1,63","-29,59","1,14","R$ 1,77 B","0,00%"
17,30/09/2020,"80,20","1,65","1,62","30,65","-88,57","1,07","96,08","2,28","103,39","19,37","8,89","1,75","-95,31","1,16","R$ 1,77 B","0,00%"
18,30/06/2020,"63,14","1,26","1,21","10,10","37,12","0,86","93,03","1,82","100,65","14,46","5,33","1,31","40,16","0,93","R$ 1,30 B","0,00%"
19,31/03/2020,"10,35","1,18","1,00","6,73","15,27","0,94","10,97","2,00","10,49","6,09","3,49","0,96","14,60","0,90","R$ 1,30 B","0,00%"
20,31/12/2019,"13,97","1,84","1,47","9,80","22,50","1,47","14,09","3,10","13,96","8,90","5,30","1,46","22,28","1,46","R$ 2,00 B","0,00%"
21,30/09/2019,"13,79","1,91","1,48","9,97","22,16","1,44","12,66","3,26","12,59","8,40","7,35","1,48","22,04","1,43","R$ 1,99 B","0,00%"
22,30/06/2019,"11,97","1,70","1,30","8,65","16,30","1,27","11,13","3,01","10,89","7,36","7,70","1,28","15,95","1,24","R$ 1,70 B","0,00%"
23,31/03/2019,"10,55","1,58","1,22","12,85","54,39","1,14","10,07","2,83","9,69","6,76","9,18","1,17","52,35","1,10","R$ 1,53 B","0,00%"
24,31/12/2018,"12,97","2,10","1,58","15,72","61,86","1,49","12,35","3,76","12,30","8,85","14,14","1,57","61,59","1,48","R$ 1,97 B","0,00%"
25,30/09/2018,"10,86","1,84","1,36","10,47","25,69","1,40","10,13","3,49","10,00","7,40","8,67","1,34","25,35","1,38","R$ 1,64 B","0,00%"
26,30/06/2018,"7,12","1,48","1,03","5,30","8,47","1,14","6,58","2,87","6,43","4,98","6,98","1,00","8,28","1,11","R$ 1,27 B","0,00%"
27,31/03/2018,"9,58","2,30","1,49","6,80","9,22","1,60","8,10","4,45","7,84","6,31","29,78","1,45","8,93","1,55","R$ 1,88 B","0,00%"
28,31/12/2017,"13,27","3,20","1,98","8,37","10,54","2,24","10,41","6,24","10,39","8,43","38,43","1,98","10,51","2,23","R$ 2,51 B","0,00%"
29,30/09/2017,"11,04","8,91","1,38","6,83","9,03","1,60","7,96","6,79","9,47","7,31","-2,75","1,64","10,75","1,91","R$ 1,73 B","0,00%"
30,30/06/2017,"15,18","13,01","1,38","8,83","12,63","1,53","8,79","7,92","10,97","8,27","-2,22","1,72","15,75","1,91","R$ 1,68 B","0,00%"
31,31/03/2017,"13,51","10,47","0,68","4,87","7,48","0,77","5,71","4,59","8,76","6,02","-1,01","1,05","11,48","1,18","R$ 805,75 M","0,00%"
32,31/12/2016,"19,20","13,27","0,60","5,08","7,92","0,64","5,76","3,90","10,15","6,49","-0,80","1,06","13,95","1,12","R$ 685,35 M","0,00%"
33,30/09/2016,"-61,32","10,97","0,51","2,37","2,93","0,36","8,68","-18,51","20,69","9,23","-0,36","1,21","6,97","0,85","R$ 413,06 M","0,00%"
34,30/06/2016,"-26,13","19,90","0,56","4,48","6,37","0,43","11,73","-5,19","25,61","9,82","-0,40","1,22","13,90","0,93","R$ 481,60 M","0,00%"
35,31/03/2016,"-7,35","9,51","0,27","2,77","4,52","0,23","6,37","-2,99","20,90","7,62","-0,21","0,89","14,82","0,74","R$ 251,91 M","0,00%"
36,31/12/2015,"-5,64","7,93","0,29","7,68","-115,39","0,23","7,42","-4,83","24,56","8,51","-0,22","0,97","-382,10","0,75","R$ 281,55 M","0,00%"
37,30/09/2015,"-33,28","4,51","0,25","-7,40","-3,12","0,23","2,98","51,14","9,24","5,51","-0,25","0,78","-9,68","0,72","R$ 326,01 M","0,00%"
38,30/06/2015,"-19,04","7,03","0,22","-87,41","-4,86","0,22","2,65","1,55","8,69","5,18","-0,27","0,72","-15,96","0,72","R$ 281,55 M","0,00%"
39,31/03/2015,"-8,53","6,11","0,29","-24,62","-5,71","0,29","5,10","3,16","14,46","7,13","-0,33","0,83","-16,20","0,82","R$ 370,46 M","0,00%"
40,31/12/2014,"-2,54","3,05","0,15","-6,02","-2,45","0,15","4,89","1,39","23,07","7,66","-0,17","0,69","-11,58","0,69","R$ 185,23 M","0,00%"
41,30/09/2014,"-1,86","5,88","0,20","3,47","6,94","0,21","-17,10","4,05","-63,45","15,18","-0,23","0,73","25,75","0,77","R$ 259,32 M","0,00%"
42,30/06/2014,"-2,44","10,25","0,28","7,58","37,42","0,31","-14,42","23,21","-43,27","19,60","-0,32","0,83","112,30","0,92","R$ 363,05 M","0,00%"
43,31/03/2014,"-3,08","5,02","0,31","6,74","26,44","0,34","-37,24","39,54","-104,93","16,61","-0,37","0,87","74,52","0,95","R$ 407,51 M","0,00%"
44,31/12/2013,"-3,57","3,39","0,34","6,79","22,09","0,36","-50,67","7,73","-137,45","16,90","-0,42","0,92","59,91","0,97","R$ 451,96 M","0,00%"
45,30/09/2013,"-1,38","-3,31","0,16","-43,11","-4,57","0,15","-7,55","1,57","-40,62","17,17","-0,16","0,85","-24,61","0,81","R$ 202,69 M","0,00%"
46,30/06/2013,"-0,81","-2,64","0,11","5,36","-19,78","0,12","-2,24","1,20","-15,27","37,22","-0,12","0,78","-134,54","0,80","R$ 154,00 M","0,00%"
47,31/03/2013,"-0,87","-7,56","0,19","-16,23","-5,02","0,20","-2,34","3,23","-10,53","-125,88","-0,21","0,86","-22,59","0,90","R$ 266,00 M","0,00%"
48,31/12/2012,"-0,84","46,93","0,17","-7,21","-3,23","0,19","-2,47","2,42","-11,83","212,43","-0,20","0,83","-15,47","0,90","R$ 257,60 M","0,00%"
49,30/09/2012,"-0,83","3,98","0,21","-1,90","-1,44","0,22","-1,71","2,80","-6,99","-15,86","-0,26","0,88","-5,91","0,92","R$ 333,20 M","0,00%"
50,30/06/2012,"-0,98","2,78","0,25","-1,89","-1,31","0,25","-1,88","4,42","-7,02","-15,69","-0,29","0,93","-4,90","0,92","R$ 378,00 M","0,00%"
51,31/03/2012,"-1,42","2,85","0,33","-2,33","-1,62","0,33","-1,93","4,18","-6,04","-10,64","-0,40","1,04","-5,07","1,02","R$ 504,00 M","0,00%"
52,31/12/2011,"-1,62","2,41","0,34","-2,62","-1,67","0,33","-2,14","2,83","-6,54","-11,86","-0,44","1,02","-5,11","1,01","R$ 512,40 M","5,67%"
53,30/09/2011,"-27,20","1,83","0,42","-9,76","-3,47","0,43","-11,63","2,36","-26,43","28,30","-0,73","0,96","-7,89","0,97","R$ 702,80 M","4,13%"
54,30/06/2011,"-30,00","3,03","0,68","24,66","-16,85","0,80","37,81","8,38","61,31","14,22","-1,26","1,10","-27,31","1,30","R$ 1,26 B","2,30%"
55,31/03/2011,"14,12","2,64","0,71","9,61","-145,66","0,86","7,79","4,71","11,77","7,51","-1,74","1,07","-220,24","1,30","R$ 1,40 B","2,08%"
56,31/12/2010,"3,49","0,80","0,22","2,36","17,27","0,26","2,22","1,35","5,90","3,87","-0,55","0,57","45,82","0,69","R$ 422,10 M","1,62%"
57,30/09/2010,"9,02","2,64","0,73","8,12","35,20","0,81","5,73","2,61","8,15",NA,"-2,11","1,03","50,09","1,15","R$ 1,40 B","1,96%"
58,30/06/2010,"11,26","3,06","0,86","9,14","34,56","0,97","7,46","3,87","10,53",NA,"-2,22","1,21","48,73","1,36","R$ 1,50 B","1,83%"
59,31/03/2010,"10,21","3,08","0,85","10,83","36,12","0,94","6,06","4,47","8,68",NA,"-1,93","1,22","51,74","1,34","R$ 1,42 B","1,93%"
60,31/12/2009,"12,79","4,00","1,10","16,38","59,76","1,09","7,43","5,25","10,10",NA,"-2,11","1,49","81,23","1,49","R$ 1,75 B","2,68%"
61,30/09/2009,"13,57","2,88","0,85","11,51","47,11","0,84","7,51","4,33","11,06",NA,"-1,64","1,26","69,32","1,24","R$ 1,30 B","3,63%"
62,30/06/2009,"9,79","3,08","0,85","-16,87","-7,49","0,91","6,83","3,42","10,00",NA,"-2,08","1,25","-10,97","1,33","R$ 1,33 B","3,53%"
63,31/03/2009,"7,73","3,19","0,81","-6,98","-4,45","0,86","6,61","2,69","9,74",NA,"-2,11","1,20","-6,56","1,27","R$ 1,30 B","0,00%"
64,31/12/2008,"6,85","3,04","0,73","-10,11","-5,26","0,82","5,64","2,12","8,58",NA,"-2,39","1,11","-8,01","1,25","R$ 1,19 B","0,00%"
