,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 2,75 B","R$ 397,28 M","R$ 34,05 M","- R$ 74,97 M","R$ 109,02 M","- R$ 87,72 M","- R$ 0,27",91
1,31/03/2024,"R$ 2,96 B","R$ 399,09 M","R$ 69,76 M","- R$ 73,68 M","R$ 143,44 M","R$ 3,04 M","R$ 0,01",91
2,31/12/2023,"R$ 2,91 B","R$ 420,76 M","R$ 118,47 M","- R$ 66,93 M","R$ 185,40 M","R$ 261,24 M","R$ 0,81",91
3,30/09/2023,"R$ 2,84 B","R$ 426,84 M","R$ 167,63 M","- R$ 66,82 M","R$ 234,44 M","R$ 6,32 M","R$ 0,02",91
4,30/06/2023,"R$ 2,53 B","R$ 454,66 M","R$ 195,02 M","- R$ 65,76 M","R$ 260,79 M","R$ 55,47 M","R$ 0,19",91
5,31/03/2023,"R$ 2,80 B","R$ 432,46 M","R$ 155,33 M","- R$ 61,10 M","R$ 216,43 M","R$ 36,89 M","R$ 0,13",91
6,31/12/2022,"R$ 2,63 B","R$ 403,93 M","R$ 131,87 M","R$ 95,90 M","R$ 35,97 M","R$ 63,18 M","R$ 0,22",91
7,30/09/2022,"R$ 2,27 B","R$ 370,41 M","R$ 132,24 M","- R$ 44,42 M","R$ 176,66 M","R$ 53,87 M","R$ 0,19",91
8,30/06/2022,"R$ 1,95 B","R$ 324,06 M","R$ 125,77 M","- R$ 37,33 M","R$ 163,10 M","R$ 45,68 M","R$ 0,16",91
9,31/03/2022,"R$ 1,90 B","R$ 298,28 M","R$ 123,49 M","- R$ 40,53 M","R$ 164,02 M","R$ 97,00 M","R$ 0,34",91
10,31/12/2021,"R$ 1,62 B","R$ 256,70 M","R$ 96,95 M","- R$ 24,68 M","R$ 121,63 M","R$ 81,62 M","R$ 0,29",91
11,30/09/2021,"R$ 1,50 B","R$ 266,29 M","R$ 25,36 M","- R$ 28,49 M","R$ 53,85 M","R$ 61,26 M","R$ 0,21",91
12,30/06/2021,"R$ 1,62 B","R$ 370,71 M","R$ 304,82 M","- R$ 23,57 M","R$ 328,39 M","R$ 218,22 M","R$ 0,89",91
13,31/03/2021,"R$ 1,49 B","R$ 203,61 M","R$ 65,17 M","- R$ 21,45 M","R$ 86,63 M","R$ 34,06 M","R$ 0,14",91
14,31/12/2020,,,,,,,,91
