,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 37,44 B","R$ 19,30 B","R$ 4,60",4.197.317.998,0,0,4.197.317.998,1.825.057,0,0,1.825.057,4.195.492.941,0,4.195.492.941
1,31/03/2024,"R$ 31,98 B","R$ 17,41 B","R$ 4,15",4.197.317.998,0,0,4.197.317.998,1.964.872,0,0,1.964.872,4.195.353.126,0,4.195.353.126
2,31/12/2023,"R$ 31,50 B","R$ 17,34 B","R$ 4,13",4.197.317.998,0,0,4.197.317.998,2.083.696,0,0,2.083.696,4.195.234.302,0,4.195.234.302
3,30/09/2023,"R$ 30,08 B","R$ 16,12 B","R$ 3,84",4.197.317.998,0,0,4.197.317.998,2.083.696,0,0,2.083.696,4.195.234.302,0,4.195.234.302
4,30/06/2023,"R$ 29,10 B","R$ 15,39 B","R$ 3,67",4.197.317.998,0,0,4.197.317.998,1.105.670,0,0,1.105.670,4.196.212.328,0,4.196.212.328
5,31/03/2023,"R$ 28,92 B","R$ 14,87 B","R$ 3,54",4.197.317.998,0,0,4.197.317.998,1.105.670,0,0,1.105.670,4.196.212.328,0,4.196.212.328
6,31/12/2022,"R$ 28,13 B","R$ 14,83 B","R$ 3,53",4.197.317.998,0,0,4.197.317.998,1.302.592,0,0,1.302.592,4.196.015.406,0,4.196.015.406
7,30/09/2022,"R$ 27,70 B","R$ 13,89 B","R$ 3,31",4.197.317.998,0,0,4.197.317.998,1.302.592,0,0,1.302.592,4.196.015.406,0,4.196.015.406
8,30/06/2022,"R$ 25,88 B","R$ 13,41 B","R$ 3,20",4.197.317.998,0,0,4.197.317.998,1.337.793,0,0,1.337.793,4.195.980.205,0,4.195.980.205
9,31/03/2022,"R$ 24,17 B","R$ 12,42 B","R$ 2,96",4.197.317.998,0,0,4.197.317.998,1.277.793,0,0,1.277.793,4.196.040.205,0,4.196.040.205
10,31/12/2021,"R$ 23,93 B","R$ 13,60 B","R$ 3,24",4.197.317.998,0,0,4.197.317.998,1.306.348,0,0,1.306.348,4.196.011.650,0,4.196.011.650
11,30/09/2021,"R$ 22,50 B","R$ 12,75 B","R$ 3,04",4.197.317.998,0,0,4.197.317.998,1.306.348,0,0,1.306.348,4.196.011.650,0,4.196.011.650
12,30/06/2021,"R$ 21,41 B","R$ 11,97 B","R$ 2,85",4.197.317.998,0,0,4.197.317.998,1.387.560,0,0,1.387.560,4.195.930.438,0,4.195.930.438
13,31/03/2021,"R$ 21,16 B","R$ 11,98 B","R$ 5,71",2.098.658.999,0,0,2.098.658.999,693.780,0,0,693.780,2.097.965.219,0,2.097.965.219
14,31/12/2020,"R$ 19,93 B","R$ 11,56 B","R$ 5,51",2.098.658.999,0,0,2.098.658.999,918.948,0,0,918.948,2.097.740.051,0,2.097.740.051
15,30/09/2020,"R$ 19,05 B","R$ 11,12 B","R$ 5,30",2.098.658.999,0,0,2.098.658.999,918.948,0,0,918.948,2.097.740.051,0,2.097.740.051
16,30/06/2020,"R$ 18,01 B","R$ 10,36 B","R$ 4,94",2.098.658.999,0,0,2.098.658.999,959.216,0,0,959.216,2.097.699.783,0,2.097.699.783
17,31/03/2020,"R$ 17,37 B","R$ 9,64 B","R$ 4,59",2.098.658.999,0,0,2.098.658.999,989.904,0,0,989.904,2.097.669.095,0,2.097.669.095
18,31/12/2019,"R$ 15,69 B","R$ 8,72 B","R$ 4,15",2.098.658.999,0,0,2.098.658.999,1.118.168,0,0,1.118.168,2.097.540.831,0,2.097.540.831
19,30/09/2019,"R$ 15,48 B","R$ 8,33 B","R$ 3,97",2.098.658.999,0,0,2.098.658.999,1.144.023,0,0,1.144.023,2.097.514.976,0,2.097.514.976
20,30/06/2019,"R$ 14,91 B","R$ 8,02 B","R$ 3,82",2.098.658.999,0,0,2.098.658.999,1.223.905,0,0,1.223.905,2.097.435.094,0,2.097.435.094
21,31/03/2019,"R$ 15,23 B","R$ 7,78 B","R$ 3,71",2.098.658.999,0,0,2.098.658.999,1.313.125,0,0,1.313.125,2.097.345.874,0,2.097.345.874
22,31/12/2018,"R$ 15,40 B","R$ 7,71 B","R$ 3,68",2.098.658.999,0,0,2.098.658.999,1.494.283,0,0,1.494.283,2.097.164.716,0,2.097.164.716
23,30/09/2018,"R$ 16,27 B","R$ 7,63 B","R$ 3,63",2.098.658.999,0,0,2.098.658.999,1.494.283,0,0,1.494.283,2.097.164.716,0,2.097.164.716
24,30/06/2018,"R$ 15,46 B","R$ 7,41 B","R$ 3,53",2.098.658.999,0,0,2.098.658.999,1.574.808,0,0,1.574.808,2.097.084.191,0,2.097.084.191
25,31/03/2018,"R$ 14,53 B","R$ 6,84 B","R$ 4,23",1.614.353.076,0,0,1.614.353.076,1.273.083,0,0,1.273.083,1.613.079.993,0,1.613.079.993
26,31/12/2017,"R$ 13,99 B","R$ 6,72 B","R$ 4,16",1.614.353.076,0,0,1.614.353.076,1.310.021,0,0,1.310.021,1.613.043.055,0,1.613.043.055
27,30/09/2017,"R$ 13,96 B","R$ 6,40 B","R$ 3,96",1.614.353.076,0,0,1.614.353.076,1.340.443,0,0,1.340.443,1.613.012.633,0,1.613.012.633
28,30/06/2017,"R$ 14,18 B","R$ 6,35 B","R$ 3,93",1.614.353.076,0,0,1.614.353.076,1.454.839,0,0,1.454.839,1.612.898.237,0,1.612.898.237
29,31/03/2017,"R$ 13,45 B","R$ 6,00 B","R$ 3,71",1.614.353.076,0,0,1.614.353.076,1.521.507,0,0,1.521.507,1.612.831.569,0,1.612.831.569
30,31/12/2016,"R$ 13,51 B","R$ 5,96 B","R$ 3,69",1.614.353.076,0,0,1.614.353.076,1.051.671,0,0,1.051.671,1.613.301.405,0,1.613.301.405
31,30/09/2016,"R$ 13,63 B","R$ 5,85 B","R$ 3,62",1.614.353.076,0,0,1.614.353.076,1.055.483,0,0,1.055.483,1.613.297.593,0,1.613.297.593
32,30/06/2016,"R$ 13,05 B","R$ 5,70 B","R$ 3,53",1.614.353.076,0,0,1.614.353.076,1.123.981,0,0,1.123.981,1.613.229.095,0,1.613.229.095
33,31/03/2016,"R$ 13,46 B","R$ 5,88 B","R$ 3,64",1.614.353.076,0,0,1.614.353.076,1.205.872,0,0,1.205.872,1.613.147.204,0,1.613.147.204
34,31/12/2015,"R$ 14,26 B","R$ 6,03 B","R$ 3,73",1.614.353.076,0,0,1.614.353.076,1.505.380,0,0,1.505.380,1.612.847.696,0,1.612.847.696
35,30/09/2015,"R$ 14,29 B","R$ 5,86 B","R$ 3,63",1.614.353.076,0,0,1.614.353.076,1.519.786,0,0,1.519.786,1.612.833.290,0,1.612.833.290
36,30/06/2015,"R$ 13,12 B","R$ 5,43 B","R$ 3,36",1.614.353.076,0,0,1.614.353.076,1.035.332,0,0,1.035.332,1.613.317.744,0,1.613.317.744
37,31/03/2015,"R$ 12,95 B","R$ 5,30 B","R$ 6,57",807.176.538,0,0,807.176.538,542.250,0,0,542.250,806.634.288,0,806.634.288
38,31/12/2014,"R$ 11,78 B","R$ 5,06 B","R$ 6,26",807.176.538,0,0,807.176.538,544.200,0,0,544.200,806.632.338,0,806.632.338
39,30/09/2014,"R$ 10,90 B","R$ 4,79 B","R$ 5,94",807.176.538,0,0,807.176.538,553.794,0,0,553.794,806.622.744,0,806.622.744
40,30/06/2014,"R$ 10,36 B","R$ 4,63 B","R$ 5,74",807.176.538,0,0,807.176.538,581.100,0,0,581.100,806.595.438,0,806.595.438
41,31/03/2014,"R$ 9,90 B","R$ 4,49 B","R$ 7,23",620.905.029,0,0,620.905.029,473.515,0,0,473.515,620.431.514,0,620.431.514
42,31/12/2013,"R$ 10,14 B","R$ 4,56 B","R$ 7,34",620.905.029,0,0,620.905.029,473.515,0,0,473.515,620.431.514,0,620.431.514
43,30/09/2013,"R$ 9,55 B","R$ 4,33 B","R$ 6,97",620.905.029,0,0,620.905.029,474.183,0,0,474.183,620.430.846,0,620.430.846
44,30/06/2013,"R$ 9,54 B","R$ 4,24 B","R$ 6,84",620.419.011,0,0,620.419.011,486.018,0,0,486.018,619.932.993,0,619.932.993
45,31/03/2013,"R$ 9,50 B","R$ 4,03 B","R$ 6,50",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
46,31/12/2012,"R$ 8,87 B","R$ 4,06 B","R$ 6,54",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
47,30/09/2012,"R$ 8,76 B","R$ 3,92 B","R$ 6,32",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
48,30/06/2012,"R$ 9,11 B","R$ 3,83 B","R$ 6,17",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
49,31/03/2012,"R$ 8,82 B","R$ 3,68 B","R$ 5,93",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
50,31/12/2011,"R$ 9,11 B","R$ 3,80 B","R$ 6,13",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
51,30/09/2011,"R$ 8,70 B","R$ 3,61 B","R$ 5,82",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
52,30/06/2011,"R$ 7,98 B","R$ 3,51 B","R$ 5,66",620.405.029,0,0,620.405.029,500.000,0,0,500.000,619.905.029,0,619.905.029
53,31/03/2011,"R$ 7,42 B","R$ 3,44 B","R$ 5,53",620.905.029,0,0,620.905.029,0,0,0,0,620.905.029,0,620.905.029
54,31/12/2010,"R$ 7,51 B","R$ 3,45 B","R$ 5,56",620.905.029,0,0,620.905.029,0,0,0,0,620.905.029,0,620.905.029
55,30/09/2010,"R$ 7,37 B","R$ 3,36 B","R$ 5,41",620.905.029,0,0,620.905.029,0,0,0,0,620.905.029,0,620.905.029
56,30/06/2010,"R$ 7,34 B","R$ 3,32 B","R$ 5,35",620.905.029,0,0,620.905.029,0,0,0,0,620.905.029,0,620.905.029
57,31/03/2010,"R$ 6,42 B","R$ 3,26 B","R$ 5,25",620.905.029,0,0,620.905.029,0,0,0,0,620.905.029,0,620.905.029
58,31/12/2009,"R$ 5,37 B","R$ 2,36 B","R$ 3,81",620.905.029,0,0,620.905.029,0,0,0,0,620.905.029,0,620.905.029
59,30/09/2009,"R$ 5,38 B","R$ 2,31 B","R$ 3,75",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
60,30/06/2009,"R$ 5,26 B","R$ 2,22 B","R$ 3,59",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
61,31/03/2009,"R$ 5,59 B","R$ 2,25 B","R$ 3,64",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
62,31/12/2008,"R$ 5,77 B","R$ 2,18 B","R$ 3,53",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
63,30/09/2008,"R$ 5,30 B","R$ 2,12 B","R$ 3,44",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
64,30/06/2008,"R$ 4,86 B","R$ 1,95 B","R$ 3,15",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
65,31/03/2008,"R$ 4,85 B","R$ 1,93 B","R$ 3,12",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
66,31/12/2007,"R$ 4,87 B","R$ 1,83 B","R$ 2,96",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
67,30/09/2007,"R$ 4,43 B","R$ 1,84 B","R$ 2,98",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
68,30/06/2007,"R$ 4,22 B","R$ 1,69 B","R$ 2,74",617.626.729,0,0,617.626.729,0,0,0,0,617.626.729,0,617.626.729
69,31/03/2007,"R$ 3,88 B","R$ 1,67 B","R$ 2,71",288.000.000,329.626.729,329.626.729,617.626.729,0,0,0,0,288.000.000,329.626.729,617.626.729
70,31/12/2006,"R$ 3,74 B","R$ 1,55 B","R$ 2,51",288.000.000,329.626.729,329.626.729,617.626.729,0,0,0,0,288.000.000,329.626.729,617.626.729
71,30/09/2006,"R$ 3,48 B","R$ 1,53 B","R$ 2,47",288.000.000,329.626.729,329.626.729,617.626.729,0,0,0,0,288.000.000,329.626.729,617.626.729
72,30/06/2006,"R$ 3,50 B","R$ 1,41 B","R$ 2,29",288.000.000,329.627.000,329.627.000,617.627.000,0,0,0,0,288.000.000,329.627.000,617.627.000
73,31/03/2006,"R$ 3,35 B","R$ 1,48 B","R$ 2,40",288.000.000,329.627.000,329.627.000,617.627.000,0,0,0,0,288.000.000,329.627.000,617.627.000
74,31/12/2005,"R$ 3,31 B","R$ 1,37 B","R$ 2,22",288.000.000,329.627.000,329.627.000,617.627.000,0,0,0,0,288.000.000,329.627.000,617.627.000
75,30/09/2005,"R$ 2,93 B","R$ 1,36 B","R$ 2,19",288.000.000,329.627.000,329.627.000,617.627.000,0,0,0,0,288.000.000,329.627.000,617.627.000
76,30/06/2005,"R$ 2,82 B","R$ 1,26 B","R$ 2,04",288.000.000,329.627.000,329.627.000,617.627.000,0,0,0,0,288.000.000,329.627.000,617.627.000
77,31/03/2005,"R$ 2,64 B","R$ 1,25 B","R$ 2,03",288.000.000,329.955.000,329.955.000,617.955.000,0,328.000,328.000,328.000,288.000.000,329.627.000,617.627.000
78,31/12/2004,"R$ 2,47 B","R$ 1,16 B","R$ 1,88",288.000.000,329.955.000,329.955.000,617.955.000,0,328.000,328.000,328.000,288.000.000,329.627.000,617.627.000
79,30/09/2004,"R$ 2,40 B","R$ 1,15 B","R$ 1,87",288.000.000,329.955.000,329.955.000,617.955.000,0,328.000,328.000,328.000,288.000.000,329.627.000,617.627.000
80,30/06/2004,"R$ 2,35 B","R$ 977,25 M","R$ 1,58",288.000.000,329.955.000,329.955.000,617.955.000,0,10.359.000,10.359.000,10.359.000,288.000.000,319.596.000,607.596.000
81,31/03/2004,"R$ 2,03 B","R$ 956,93 M","R$ 1,55",288.000.000,329.955.000,329.955.000,617.955.000,0,10.359.000,10.359.000,10.359.000,288.000.000,319.596.000,607.596.000
82,31/12/2003,"R$ 1,92 B","R$ 861,43 M","R$ 1,39",288.000.000,329.955.000,329.955.000,617.955.000,0,10.359.000,10.359.000,10.359.000,288.000.000,319.596.000,607.596.000
83,30/09/2003,"R$ 1,78 B","R$ 850,19 M","R$ 1,38",288.000.000,329.955.000,329.955.000,617.955.000,0,10.359.000,10.359.000,10.359.000,288.000.000,319.596.000,607.596.000
84,30/06/2003,"R$ 1,73 B","R$ 774,18 M","R$ 1,25",288.000.000,329.955.000,329.955.000,617.955.000,0,8.294.000,8.294.000,8.294.000,288.000.000,321.661.000,609.661.000
85,31/03/2003,"R$ 1,72 B","R$ 765,33 M","R$ 1,24",288.000.000,329.955.000,329.955.000,617.955.000,0,5.562.000,5.562.000,5.562.000,288.000.000,324.393.000,612.393.000
86,31/12/2002,"R$ 1,77 B","R$ 693,65 M","R$ 1,12",288.000.000,329.955.000,329.955.000,617.955.000,0,5.293.000,5.293.000,5.293.000,288.000.000,324.662.000,612.662.000
87,30/09/2002,"R$ 1,65 B","R$ 683,31 M","R$ 1,11",288.000.000,329.955.000,329.955.000,617.955.000,0,5.043.000,5.043.000,5.043.000,288.000.000,324.912.000,612.912.000
88,30/06/2002,"R$ 1,34 B","R$ 627,02 M","R$ 1,01",288.000.000,329.955.000,329.955.000,617.955.000,0,0,0,0,288.000.000,329.955.000,617.955.000
89,31/03/2002,"R$ 1,26 B","R$ 601,94 M","R$ 0,97",288.000.000,329.955.000,329.955.000,617.955.000,0,0,0,0,288.000.000,329.955.000,617.955.000
