,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 41,50 M","R$ 17,84 M","- R$ 11,41 M","- R$ 4,90 M","- R$ 6,52 M","- R$ 8,34 M","- R$ 0,08",215
1,31/03/2024,"R$ 40,71 M","R$ 16,36 M","- R$ 20,20 M","- R$ 4,99 M","- R$ 15,21 M","- R$ 14,60 M","- R$ 0,13",215
2,31/12/2023,"R$ 56,95 M","R$ 18,91 M","- R$ 20,36 M","- R$ 5,46 M","- R$ 14,90 M","- R$ 16,54 M","- R$ 0,15",215
3,30/09/2023,"R$ 51,02 M","R$ 21,35 M","- R$ 19,40 M","- R$ 5,85 M","- R$ 13,56 M","- R$ 14,64 M","- R$ 0,13",215
4,30/06/2023,"R$ 45,74 M","R$ 19,84 M","- R$ 14,84 M","- R$ 5,79 M","- R$ 9,05 M","- R$ 9,08 M","- R$ 0,08",215
5,31/03/2023,"R$ 44,45 M","R$ 19,54 M","- R$ 16,49 M","- R$ 5,92 M","- R$ 10,57 M","- R$ 13,48 M","- R$ 0,12",215
6,31/12/2022,"R$ 69,57 M","R$ 27,96 M","- R$ 31,14 M","- R$ 6,05 M","- R$ 25,09 M","- R$ 24,57 M","- R$ 0,22",215
7,30/09/2022,"R$ 61,72 M","R$ 26,70 M","- R$ 16,95 M","- R$ 5,07 M","- R$ 11,88 M","- R$ 11,05 M","- R$ 0,10",215
8,30/06/2022,"R$ 61,54 M","R$ 25,51 M","- R$ 18,98 M","- R$ 4,87 M","- R$ 14,11 M","- R$ 8,73 M","- R$ 0,08",215
9,31/03/2022,"R$ 63,97 M","R$ 28,09 M","- R$ 17,21 M","- R$ 4,50 M","- R$ 12,71 M","- R$ 9,92 M","- R$ 0,09",215
10,31/12/2021,"R$ 87,64 M","R$ 35,08 M","- R$ 23,04 M","- R$ 3,92 M","- R$ 19,12 M","- R$ 16,75 M","- R$ 0,15",215
11,30/09/2021,"R$ 86,12 M","R$ 36,66 M","- R$ 15,98 M","- R$ 3,06 M","- R$ 12,91 M","- R$ 9,32 M","- R$ 0,08",215
12,30/06/2021,"R$ 79,60 M","R$ 37,33 M","R$ 104,00 mil","- R$ 2,37 M","R$ 2,48 M","R$ 597,00 mil","R$ 0,01",215
13,31/03/2021,"R$ 60,58 M","R$ 27,77 M","- R$ 25,00 M","- R$ 2,41 M","- R$ 22,59 M","- R$ 16,68 M","- R$ 0,15",215
14,31/12/2020,"R$ 77,39 M","R$ 32,22 M","- R$ 7,55 M","- R$ 1,26 M","- R$ 6,29 M","- R$ 5,36 M","- R$ 0,07",215
15,30/09/2020,"R$ 81,94 M","R$ 37,96 M","R$ 6,52 M","- R$ 1,07 M","R$ 7,59 M","R$ 3,67 M","R$ 0,05",215
16,30/06/2020,"R$ 52,87 M","R$ 24,96 M","R$ 2,21 M","- R$ 796,00 mil","R$ 3,01 M","R$ 15,83 M","R$ 0,22",215
17,31/03/2020,"R$ 33,05 M","R$ 15,52 M","- R$ 1,12 M","- R$ 934,00 mil","- R$ 190,00 mil","- R$ 2,55 M","- R$ 0,04",215
18,31/12/2019,,,,,,,,215
