,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 845,17 M","R$ 92,66 M","R$ 65,09 M","- R$ 1,48 M","R$ 66,56 M","R$ 42,29 M","R$ 1,16",325
1,31/03/2024,"R$ 749,89 M","R$ 85,00 M","R$ 47,87 M","- R$ 1,41 M","R$ 49,28 M","R$ 26,13 M","R$ 0,72",325
2,31/12/2023,"R$ 918,14 M","R$ 100,68 M","R$ 56,42 M","- R$ 1,29 M","R$ 57,71 M","R$ 41,51 M","R$ 1,14",325
3,30/09/2023,"R$ 540,43 M","R$ 70,18 M","R$ 32,93 M","- R$ 1,24 M","R$ 34,17 M","R$ 24,53 M","R$ 0,67",325
4,30/06/2023,"R$ 534,61 M","R$ 59,60 M","R$ 36,58 M","- R$ 1,20 M","R$ 37,77 M","R$ 25,26 M","R$ 0,69",325
5,31/03/2023,"R$ 386,56 M","R$ 62,71 M","R$ 34,00 M","- R$ 1,10 M","R$ 35,09 M","R$ 23,35 M","R$ 0,64",325
6,31/12/2022,"R$ 654,47 M","R$ 81,89 M","R$ 45,42 M","- R$ 990,00 mil","R$ 46,41 M","R$ 32,53 M","R$ 0,89",325
7,30/09/2022,"R$ 642,36 M","R$ 74,41 M","R$ 40,41 M","- R$ 965,00 mil","R$ 41,37 M","R$ 32,24 M","R$ 0,89",325
8,30/06/2022,"R$ 461,57 M","R$ 61,88 M","R$ 45,87 M","- R$ 1,00 M","R$ 46,87 M","R$ 34,44 M","R$ 0,95",325
9,31/03/2022,"R$ 216,12 M","R$ 45,14 M","R$ 21,29 M","- R$ 1,02 M","R$ 22,32 M","R$ 18,09 M","R$ 0,50",325
10,31/12/2021,"R$ 462,03 M","R$ 65,99 M","R$ 33,88 M","- R$ 1,04 M","R$ 34,92 M","R$ 28,65 M","R$ 0,79",325
11,30/09/2021,"R$ 412,05 M","R$ 52,95 M","R$ 23,66 M","- R$ 974,00 mil","R$ 24,63 M","R$ 19,94 M","R$ 0,55",325
12,30/06/2021,"R$ 539,33 M","R$ 63,90 M","R$ 43,90 M","- R$ 964,00 mil","R$ 44,86 M","R$ 32,42 M","R$ 0,89",325
13,31/03/2021,"R$ 445,37 M","R$ 57,68 M","R$ 34,70 M","- R$ 971,00 mil","R$ 35,67 M","R$ 24,72 M","R$ 0,68",325
14,31/12/2020,"R$ 335,54 M","R$ 47,71 M","R$ 22,57 M","- R$ 961,00 mil","R$ 23,53 M","R$ 16,35 M","R$ 0,45",325
15,30/09/2020,"R$ 250,72 M","R$ 43,68 M","R$ 25,93 M","- R$ 940,00 mil","R$ 26,87 M","R$ 18,72 M","R$ 0,51",325
16,30/06/2020,"R$ 199,88 M","R$ 28,62 M","R$ 15,52 M","- R$ 941,00 mil","R$ 16,46 M","R$ 9,87 M","R$ 0,27",325
17,31/03/2020,"R$ 205,08 M","R$ 34,30 M","R$ 13,56 M","- R$ 929,00 mil","R$ 14,49 M","R$ 9,47 M","R$ 0,26",325
18,31/12/2019,"R$ 271,82 M","R$ 21,69 M","R$ 15,02 M","- R$ 835,00 mil","R$ 15,85 M","R$ 20,65 M","R$ 0,57",325
19,30/09/2019,"R$ 362,49 M","R$ 44,50 M","R$ 18,68 M","- R$ 900,00 mil","R$ 19,58 M","R$ 14,04 M","R$ 0,39",325
20,30/06/2019,"R$ 261,71 M","R$ 39,82 M","R$ 13,04 M","- R$ 879,00 mil","R$ 13,90 M","R$ 8,46 M","R$ 0,23",325
21,31/03/2019,"R$ 187,60 M","R$ 31,67 M","R$ 9,32 M","- R$ 892,00 mil","R$ 10,21 M","R$ 6,63 M","R$ 0,18",325
22,31/12/2018,"R$ 245,23 M","R$ 34,50 M","R$ 7,46 M","- R$ 891,00 mil","R$ 8,35 M","R$ 4,94 M","R$ 0,14",325
23,30/09/2018,"R$ 184,40 M","R$ 29,72 M","R$ 8,21 M","- R$ 779,00 mil","R$ 8,98 M","R$ 6,73 M","R$ 0,18",325
24,30/06/2018,"R$ 176,91 M","R$ 27,44 M","- R$ 656,00 mil","- R$ 323,00 mil","- R$ 333,00 mil","- R$ 1,03 M","- R$ 0,03",325
25,31/03/2018,"R$ 145,76 M","R$ 27,28 M","R$ 3,66 M","- R$ 1,27 M","R$ 4,93 M","R$ 5,43 M","R$ 0,15",325
26,31/12/2017,"R$ 151,79 M","R$ 25,96 M","- R$ 7,78 M","R$ 67,00 mil","- R$ 7,85 M","- R$ 6,79 M","- R$ 0,19",325
27,30/09/2017,"R$ 108,52 M","R$ 25,47 M","R$ 1,29 M","- R$ 1,22 M","R$ 2,50 M","R$ 2,20 M","R$ 0,06",325
28,30/06/2017,"R$ 130,61 M","R$ 27,67 M","- R$ 746,00 mil","- R$ 1,18 M","R$ 429,00 mil","- R$ 868,00 mil","- R$ 0,02",325
29,31/03/2017,"R$ 98,82 M","R$ 24,94 M","- R$ 893,00 mil","- R$ 1,15 M","R$ 256,00 mil","- R$ 1,21 M","- R$ 0,03",325
30,31/12/2016,"R$ 112,89 M","R$ 22,85 M","- R$ 7,81 M","- R$ 1,11 M","- R$ 6,70 M","- R$ 6,41 M","- R$ 0,18",325
31,30/09/2016,"R$ 112,61 M","R$ 25,83 M","- R$ 5,69 M","- R$ 1,09 M","- R$ 4,60 M","- R$ 3,72 M","- R$ 0,10",325
32,30/06/2016,"R$ 107,89 M","R$ 24,39 M","- R$ 6,76 M","- R$ 1,11 M","- R$ 5,66 M","- R$ 5,07 M","- R$ 0,14",325
33,31/03/2016,"R$ 88,08 M","R$ 20,10 M","- R$ 6,00 M","- R$ 1,11 M","- R$ 4,90 M","- R$ 4,56 M","- R$ 0,13",325
34,31/12/2015,"R$ 114,24 M","R$ 22,00 M","- R$ 2,75 M","- R$ 1,13 M","- R$ 1,62 M","R$ 1,16 M","R$ 0,03",325
35,30/09/2015,"R$ 133,97 M","R$ 26,70 M","R$ 497,00 mil","- R$ 1,14 M","R$ 1,63 M","R$ 1,50 M","R$ 0,04",325
36,30/06/2015,"R$ 147,26 M","R$ 30,87 M","R$ 2,03 M","- R$ 1,13 M","R$ 3,15 M","R$ 3,03 M","R$ 0,42",325
37,31/03/2015,"R$ 101,38 M","R$ 23,17 M","- R$ 4,67 M","- R$ 1,12 M","- R$ 3,55 M","- R$ 2,07 M","- R$ 0,28",325
38,31/12/2014,"R$ 200,46 M","R$ 33,30 M","- R$ 6,95 M","- R$ 1,12 M","- R$ 5,84 M","- R$ 3,86 M","- R$ 0,53",325
39,30/09/2014,"R$ 244,03 M","R$ 37,34 M","R$ 9,92 M","- R$ 1,09 M","R$ 11,01 M","R$ 8,01 M","R$ 1,10",325
40,30/06/2014,"R$ 224,01 M","R$ 35,38 M","R$ 1,79 M","- R$ 1,07 M","R$ 2,87 M","R$ 386,00 mil","R$ 0,05",325
41,31/03/2014,"R$ 196,38 M","R$ 32,03 M","R$ 8,76 M","- R$ 1,05 M","R$ 9,80 M","R$ 7,66 M","R$ 1,05",325
42,31/12/2013,"R$ 298,42 M","R$ 38,84 M","R$ 7,82 M","- R$ 1,06 M","R$ 8,88 M","R$ 4,01 M","R$ 0,55",325
43,30/09/2013,"R$ 264,67 M","R$ 39,88 M","R$ 13,59 M","- R$ 1,06 M","R$ 14,64 M","R$ 8,98 M","R$ 1,23",325
44,30/06/2013,"R$ 326,83 M","R$ 43,38 M","R$ 8,96 M","- R$ 1,05 M","R$ 10,01 M","R$ 2,63 M","R$ 0,36",325
45,31/03/2013,"R$ 244,80 M","R$ 32,50 M","R$ 5,41 M","- R$ 1,01 M","R$ 6,43 M","R$ 3,75 M","R$ 0,51",325
46,31/12/2012,"R$ 286,03 M","R$ 38,78 M","R$ 53,29 M","- R$ 1,00 M","R$ 54,30 M","R$ 33,75 M","R$ 4,63",325
47,30/09/2012,"R$ 145,92 M","R$ 26,51 M","R$ 1,42 M","- R$ 991,00 mil","R$ 2,41 M","R$ 1,79 M","R$ 0,25",325
48,30/06/2012,"R$ 175,36 M","R$ 28,23 M","R$ 961,00 mil","- R$ 978,00 mil","R$ 1,94 M","R$ 973,00 mil","R$ 0,13",325
49,31/03/2012,"R$ 205,17 M","R$ 33,83 M","R$ 3,44 M","- R$ 969,00 mil","R$ 4,41 M","- R$ 1,90 M","- R$ 0,26",325
50,31/12/2011,"R$ 219,17 M","R$ 35,13 M","R$ 9,58 M","- R$ 876,00 mil","R$ 10,45 M","R$ 8,28 M","R$ 1,14",325
51,30/09/2011,"R$ 236,16 M","R$ 35,57 M","R$ 11,66 M","- R$ 870,00 mil","R$ 12,53 M","R$ 12,52 M","R$ 1,72",325
52,30/06/2011,"R$ 261,19 M","R$ 39,08 M","R$ 12,91 M","- R$ 854,00 mil","R$ 13,77 M","R$ 9,52 M","R$ 1,31",325
53,31/03/2011,"R$ 222,65 M","R$ 34,93 M","R$ 10,34 M","- R$ 850,00 mil","R$ 11,19 M","R$ 7,83 M","R$ 1,07",325
54,31/12/2010,"R$ 253,52 M","R$ 36,00 M","R$ 25,44 M",,,"R$ 21,90 M","R$ 3,01",325
55,30/09/2010,"R$ 219,46 M","R$ 32,74 M","R$ 13,72 M",,,"R$ 10,82 M","R$ 1,48",325
56,30/06/2010,"R$ 326,33 M","R$ 42,45 M","R$ 22,54 M",,,"R$ 14,77 M","R$ 2,03",325
57,31/03/2010,"R$ 183,48 M","R$ 27,13 M","R$ 10,13 M",,,"R$ 7,66 M","R$ 1,05",325
58,31/12/2009,"R$ 230,77 M","R$ 30,23 M","R$ 16,39 M",,,"R$ 12,92 M","R$ 1,77",325
59,30/09/2009,"R$ 111,11 M","R$ 20,40 M","R$ 2,84 M",,,"R$ 3,64 M","R$ 0,50",325
60,30/06/2009,"R$ 116,35 M","R$ 20,66 M","R$ 2,90 M",,,"R$ 7,50 M","R$ 1,03",325
61,31/03/2009,"R$ 108,18 M","R$ 19,72 M","R$ 1,75 M",,,"R$ 1,68 M","R$ 0,23",325
62,31/12/2008,"R$ 177,62 M","R$ 34,92 M","R$ 15,08 M",,,"R$ 12,46 M","R$ 1,71",325
63,30/09/2008,"R$ 144,23 M","R$ 31,24 M","R$ 11,15 M",,,"R$ 9,05 M","R$ 1,24",325
64,30/06/2008,"R$ 188,93 M","R$ 36,55 M","R$ 80,40 M",,,"R$ 58,65 M","R$ 8,05",325
65,31/03/2008,"R$ 134,73 M","R$ 25,80 M","R$ 8,06 M",,,"R$ 5,20 M","R$ 0,71",325
66,31/12/2007,"R$ 155,14 M","R$ 24,74 M","R$ 7,07 M",,,"R$ 5,16 M","R$ 0,71",325
67,30/09/2007,"R$ 132,41 M","R$ 19,35 M","R$ 1,89 M",,,"R$ 1,09 M","R$ 0,15",325
68,30/06/2007,"R$ 167,44 M","R$ 21,87 M","R$ 5,06 M",,,"R$ 4,43 M","R$ 0,00",325
69,31/03/2007,"R$ 107,56 M","R$ 18,78 M","R$ 7,21 M",,,"R$ 6,65 M","R$ 0,00",325
70,31/12/2006,"R$ 117,54 M","R$ 20,66 M","R$ 5,07 M",,,"R$ 3,27 M","R$ 0,00",325
71,30/09/2006,"R$ 83,81 M","R$ 15,09 M","R$ 623,00 mil",,,"R$ 2,33 M","R$ 0,00",325
72,30/06/2006,"R$ 96,84 M","R$ 16,56 M","R$ 2,45 M",,,"R$ 2,51 M","R$ 0,00",325
73,31/03/2006,"R$ 76,74 M","R$ 14,79 M","R$ 1,02 M",,,"R$ 880,00 mil","R$ 0,00",325
