,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 130,05 M","- R$ 132,76 M","- R$ 193,73 M","- R$ 196,45 M"
1,31/03/2024,"R$ 294,96 M","- R$ 116,61 M","- R$ 56,87 M","R$ 121,48 M"
2,31/12/2023,"R$ 55,19 M","- R$ 38,03 M","- R$ 402,27 M","- R$ 385,11 M"
3,30/09/2023,"R$ 318,50 M","- R$ 79,26 M","- R$ 165,93 M","R$ 73,32 M"
4,30/06/2023,"R$ 234,12 M","R$ 35,13 M","- R$ 92,61 M","R$ 176,64 M"
5,31/03/2023,"R$ 302,84 M","- R$ 225,48 M","R$ 158,72 M","R$ 236,08 M"
6,31/12/2022,"R$ 94,99 M","R$ 132,57 M","- R$ 718,86 M","- R$ 493,31 M"
7,30/09/2022,"R$ 294,10 M","- R$ 78,29 M","- R$ 26,85 M","R$ 188,97 M"
8,30/06/2022,"R$ 60,85 M","R$ 177,47 M","- R$ 158,33 M","R$ 79,99 M"
9,31/03/2022,"R$ 266,93 M","- R$ 284,17 M","- R$ 262,82 M","- R$ 280,06 M"
10,31/12/2021,"R$ 25,36 M","- R$ 316,08 M","R$ 138,77 M","- R$ 151,96 M"
11,30/09/2021,"R$ 333,51 M","- R$ 397,69 M","- R$ 90,72 M","- R$ 154,89 M"
12,30/06/2021,"R$ 160,02 M","- R$ 91,91 M","- R$ 134,28 M","- R$ 66,17 M"
13,31/03/2021,"R$ 188,59 M","- R$ 136,84 M","R$ 301,38 M","R$ 353,13 M"
14,31/12/2020,"R$ 106,48 M","- R$ 242,66 M","- R$ 151,11 M","- R$ 287,29 M"
15,30/09/2020,"R$ 285,55 M","- R$ 200,11 M","- R$ 72,24 M","R$ 13,20 M"
16,30/06/2020,"R$ 335,77 M","- R$ 1,82 B","R$ 849,51 M","- R$ 638,19 M"
17,31/03/2020,"R$ 409,42 M","- R$ 82,52 M","R$ 1,61 B","R$ 1,94 B"
18,31/12/2019,"R$ 61,50 M","- R$ 202,59 M","- R$ 115,57 M","- R$ 256,66 M"
19,30/09/2019,"R$ 323,12 M","- R$ 125,19 M","- R$ 50,44 M","R$ 147,49 M"
20,30/06/2019,"R$ 227,33 M","- R$ 70,82 M","- R$ 324,02 M","- R$ 167,51 M"
21,31/03/2019,"R$ 200,72 M","- R$ 66,71 M","- R$ 66,28 M","R$ 67,74 M"
22,31/12/2018,"R$ 159,40 M","- R$ 128,97 M","R$ 17,02 M","R$ 47,45 M"
23,30/09/2018,"R$ 607,48 M","- R$ 61,10 M","- R$ 176,75 M","R$ 369,64 M"
24,30/06/2018,"R$ 141,41 M","- R$ 64,47 M","- R$ 303,12 M","- R$ 226,17 M"
25,31/03/2018,"R$ 148,39 M","- R$ 37,40 M","- R$ 8,31 M","R$ 102,68 M"
26,31/12/2017,"R$ 357,44 M","- R$ 55,17 M","- R$ 298,10 M","R$ 4,17 M"
27,30/09/2017,"R$ 182,98 M","- R$ 41,27 M","- R$ 193,14 M","- R$ 51,42 M"
28,30/06/2017,"R$ 114,99 M","- R$ 33,86 M","- R$ 87,82 M","- R$ 6,68 M"
29,31/03/2017,"R$ 44,58 M","- R$ 26,74 M","- R$ 8,25 M","R$ 9,59 M"
30,31/12/2016,"R$ 332,39 M","- R$ 144,62 M","- R$ 200,69 M","- R$ 12,92 M"
31,30/09/2016,"R$ 18,78 M","- R$ 46,86 M","R$ 17,09 M","- R$ 10,99 M"
32,30/06/2016,"R$ 186,50 M","- R$ 43,87 M","- R$ 124,04 M","R$ 18,59 M"
33,31/03/2016,"R$ 299,07 M","- R$ 42,30 M","- R$ 241,52 M","R$ 15,25 M"
34,31/12/2015,"R$ 116,65 M","- R$ 87,41 M","R$ 7,58 M","R$ 36,82 M"
35,30/09/2015,"- R$ 114,06 M","- R$ 72,95 M","R$ 182,44 M","- R$ 4,58 M"
36,30/06/2015,"R$ 139,92 M","- R$ 49,83 M","- R$ 95,36 M","- R$ 5,27 M"
37,31/03/2015,"- R$ 64,25 M","- R$ 60,43 M","R$ 98,11 M","- R$ 26,58 M"
38,31/12/2014,"- R$ 132,55 M","- R$ 113,61 M","R$ 268,47 M","R$ 22,31 M"
39,30/09/2014,"R$ 487,17 M","- R$ 1,02 B","R$ 536,83 M","R$ 6,31 M"
40,30/06/2014,"R$ 93,45 M","- R$ 39,09 M","- R$ 45,41 M","R$ 8,95 M"
41,31/03/2014,"R$ 39,61 M","- R$ 34,72 M","- R$ 1,58 M","R$ 3,31 M"
42,31/12/2013,"- R$ 6,06 M","R$ 15,03 M","- R$ 11,74 M","- R$ 2,77 M"
43,30/09/2013,"R$ 74,48 M","- R$ 80,35 M","R$ 8,93 M","R$ 3,06 M"
44,30/06/2013,"R$ 47,24 M","- R$ 43,26 M","- R$ 15,54 M","- R$ 11,56 M"
45,31/03/2013,"R$ 22,48 M","- R$ 612,82 M","R$ 590,61 M","R$ 263,00 mil"
46,31/12/2012,"- R$ 8,09 M","R$ 16,72 M","- R$ 2,26 M","R$ 6,38 M"
47,30/09/2012,"R$ 38,49 M","- R$ 44,82 M","R$ 157,00 mil","- R$ 6,17 M"
48,30/06/2012,"R$ 28,02 M","- R$ 20,85 M","R$ 4,06 M","R$ 11,24 M"
49,31/03/2012,"R$ 34,59 M","- R$ 53,23 M","R$ 3,47 M","- R$ 15,17 M"
50,31/12/2011,"- R$ 51,96 M","- R$ 171,31 M","R$ 191,45 M","- R$ 31,82 M"
51,30/09/2011,"- R$ 14,10 M","R$ 18,70 M","- R$ 12,27 M","- R$ 7,84 M"
52,30/06/2011,"R$ 1,61 M","R$ 12,71 M","R$ 8,49 M","R$ 22,71 M"
53,31/03/2011,"R$ 15,40 M","- R$ 22,33 M","R$ 748,00 mil","- R$ 5,91 M"
