,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 4,33 B","R$ 1,25 B","R$ 4,54",275.355.447,0,0,275.355.447,3.570.968,0,0,3.570.968,271.784.479,0,271.784.479,152
1,31/03/2024,"R$ 4,59 B","R$ 1,31 B","R$ 4,76",275.355.447,0,0,275.355.447,3.570.968,0,0,3.570.968,271.784.479,0,271.784.479,152
2,31/12/2023,"R$ 4,12 B","R$ 1,39 B","R$ 5,06",275.355.447,0,0,275.355.447,8.582.468,0,0,8.582.468,266.772.979,0,266.772.979,152
3,30/09/2023,"R$ 3,98 B","R$ 1,33 B","R$ 4,84",275.355.447,0,0,275.355.447,8.582.468,0,0,8.582.468,266.772.979,0,266.772.979,152
4,30/06/2023,"R$ 4,02 B","R$ 1,37 B","R$ 4,97",275.355.447,0,0,275.355.447,8.582.468,0,0,8.582.468,266.772.979,0,266.772.979,152
5,31/03/2023,"R$ 4,04 B","R$ 1,43 B","R$ 5,19",275.355.447,0,0,275.355.447,8.582.468,0,0,8.582.468,266.772.979,0,266.772.979,152
6,31/12/2022,"R$ 4,13 B","R$ 1,49 B","R$ 5,39",275.355.447,0,0,275.355.447,8.861.523,0,0,8.861.523,266.493.924,0,266.493.924,152
7,30/09/2022,"R$ 3,99 B","R$ 1,46 B","R$ 5,29",275.355.447,0,0,275.355.447,5.861.523,0,0,5.861.523,269.493.924,0,269.493.924,152
8,30/06/2022,"R$ 3,96 B","R$ 1,49 B","R$ 5,39",275.355.447,0,0,275.355.447,5.809.279,0,0,5.809.279,269.546.168,0,269.546.168,152
9,31/03/2022,"R$ 3,72 B","R$ 1,53 B","R$ 5,57",275.355.447,0,0,275.355.447,2.951.979,0,0,2.951.979,272.403.468,0,272.403.468,152
10,31/12/2021,"R$ 3,81 B","R$ 1,57 B","R$ 5,71",275.355.447,0,0,275.355.447,1.222.719,0,0,1.222.719,274.132.728,0,274.132.728,152
11,30/09/2021,"R$ 3,71 B","R$ 1,55 B","R$ 5,62",275.355.447,0,0,275.355.447,1.222.719,0,0,1.222.719,274.132.728,0,274.132.728,152
12,30/06/2021,"R$ 3,64 B","R$ 1,58 B","R$ 5,75",275.355.447,0,0,275.355.447,1.222.719,0,0,1.222.719,274.132.728,0,274.132.728,152
13,31/03/2021,"R$ 3,68 B","R$ 1,68 B","R$ 6,10",275.355.447,0,0,275.355.447,1.222.719,0,0,1.222.719,274.132.728,0,274.132.728,152
14,31/12/2020,"R$ 3,93 B","R$ 1,84 B","R$ 6,68",275.355.447,0,0,275.355.447,1.222.719,0,0,1.222.719,274.132.728,0,274.132.728,152
15,30/09/2020,"R$ 3,49 B","R$ 1,45 B","R$ 6,35",228.105.447,0,0,228.105.447,1.222.719,0,0,1.222.719,226.882.728,0,226.882.728,152
16,30/06/2020,"R$ 3,54 B","R$ 1,55 B","R$ 6,80",228.105.447,0,0,228.105.447,1.222.719,0,0,1.222.719,226.882.728,0,226.882.728,152
17,31/03/2020,"R$ 3,43 B","R$ 1,74 B","R$ 7,61",228.105.447,0,0,228.105.447,1.222.719,0,0,1.222.719,226.882.728,0,226.882.728,152
18,31/12/2019,"R$ 3,53 B","R$ 1,79 B","R$ 7,83",228.105.447,0,0,228.105.447,1.222.719,0,0,1.222.719,226.882.728,0,226.882.728,152
19,30/09/2019,"R$ 2,94 B","R$ 1,76 B","R$ 7,69",228.105.447,0,0,228.105.447,1.222.719,0,0,1.222.719,226.882.728,0,226.882.728,152
20,30/06/2019,"R$ 2,90 B","R$ 1,76 B","R$ 7,76",227.381.070,0,0,227.381.070,0,0,0,0,227.381.070,0,227.381.070,152
21,31/03/2019,"R$ 3,05 B","R$ 1,76 B","R$ 7,76",227.074.970,0,0,227.074.970,0,0,0,0,227.074.970,0,227.074.970,152
22,31/12/2018,"R$ 2,53 B","R$ 1,72 B","R$ 7,72",222.525.821,0,0,222.525.821,0,0,0,0,222.525.821,0,222.525.821,152
23,30/09/2018,"R$ 2,47 B","R$ 1,66 B","R$ 7,47",222.525.821,0,0,222.525.821,0,0,0,0,222.525.821,0,222.525.821,152
24,30/06/2018,"R$ 2,41 B","R$ 1,63 B","R$ 7,34",222.278.169,0,0,222.278.169,0,0,0,0,222.278.169,0,222.278.169,152
25,31/03/2018,"R$ 2,35 B","R$ 1,63 B","R$ 7,31",222.278.169,0,0,222.278.169,0,0,0,0,222.278.169,0,222.278.169,152
26,31/12/2017,"R$ 2,42 B","R$ 1,62 B","R$ 7,28",222.278.169,0,0,222.278.169,0,0,0,0,222.278.169,0,222.278.169,152
27,30/09/2017,"R$ 1,48 B","R$ 674,91 M","R$ 4,30",120.713.800,36.179.800,36.179.800,156.893.600,0,0,0,0,120.713.800,36.179.800,156.893.600,152
28,30/06/2017,"R$ 1,34 B","R$ 527,22 M","R$ 0,00",120.713.800.000,20.674.200.000,20.674.200.000,141.388.000.000,0,0,0,0,120.713.800.000,20.674.200.000,141.388.000.000,152
29,31/03/2017,"R$ 1,34 B","R$ 520,32 M","R$ 3,84",114.706.400,20.674.200,20.674.200,135.380.600,0,0,0,0,114.706.400,20.674.200,135.380.600,152
30,31/12/2016,"R$ 1,43 M","R$ 540,32 mil","R$ 0,00",114.706.400.000,20.674.200.000,20.674.200.000,135.380.600.000,0,0,0,0,114.706.400.000,20.674.200.000,135.380.600.000,152
